autor,autor,autor,autor,autor,autor,per,ano
"SIQUEIRA, Sônia Maria Gonçalves",,,,,,Ângulo (FATEA. Impresso),2012
"SIQUEIRA, Sônia Maria Gonçalves",,,,,,Ângulo (FATEA. Impresso),2013
"SIQUEIRA, Sônia Maria Gonçalves",,,,,,Ângulo (FATEA. Impresso),2013
"SENA, Paulo Sérgio de",,,,,,Âmbito Jurídico,2011
"SENA, Paulo Sérgio de",,,,,,Revista Janus (Lorena),2012
"SENA, Paulo Sérgio de",,,,,,Reenvap - Revista Eletrônica de Enfermagem do Vale do Paraíba,2011
"SENA, Paulo Sérgio de",,,,,,Revista Janus (Lorena),2011
"SENA, Paulo Sérgio de","SANTOS, Renan Isaú Fernades",,,,,Revista Janus (Lorena),2013
"SENA, Paulo Sérgio de","NASCIMENTO, Márcia Maria Bezerra do",,,,,Âmbito Jurídico,2013
"SENA, Paulo Sérgio de","MATIAS, Nelson Tavares","Ribeiro, Rosinei Batista","PINA, Paulo Vinícios de Omena","MONTEMOR, Rosana do Carmo","SIQUEIRA, Sônia",Revista Janus (Lorena),2012
"LOBO, Vanessa Auxiliadora Ramos","SENA, Paulo Sérgio de",,,,,Revista Janus (Lorena),2012
"JUNQUEIRA, João Francisco Pereira Nunes",,,,,,Revista Alpha,2015
"JUNQUEIRA, João Francisco Pereira Nunes",,,,,,"ECCOM - Educação, Cultura e Comunicação",2015
"GURPILHARES, Marlene Silva Sardinha","QUINTANA, Francisco Alcidez Candia",,,,,Ângulo (FATEA. Impresso),2012
"GURPILHARES, Marlene Silva Sardinha","OLIVEIRA, Carlos Alberto de",,,,,Lusorama,2013
"GURPILHARES, Marlene Silva Sardinha","OLIVEIRA, Carlos Alberto de",,,,,Ângulo (FATEA. Impresso),2011
"GURPILHARES, Marlene Silva Sardinha","LIMA, Dimarco Daniel Carvalho",,,,,Ângulo (FATEA. Impresso),2014
"BENTO, Maria Cristina Marcelino","CUNHA, Pedro de Almeida",,,,,Tecnologia Educacional,2011
"GURPILHARES, Marlene Silva Sardinha","THIAGO, Alba Luciene",,,,,"ECCOM - Educação, Cultura e Comunicação",2016
"GURPILHARES, Marlene Silva Sardinha",,,,,,DI Factum,2016
"JUNQUEIRA, João Francisco Pereira Nunes",,,,,,"ECCOM - Educação, Cultura e Comunicação",2016
"MONTEMOR, Rosana do Carmo","ABDLA, Rachel Duarte",,,,,"ECCOM - Educação, Cultura e Comunicação",2016
"SIQUEIRA, Sônia Maria Gonçalves",,,,,,Ângulo (FATEA. Impresso),2010
"SENA, Paulo Sérgio de",,,,,,DI Factum,2016
"SENA, Paulo Sérgio de","SANTOS, Matheus Henrique Silva",,,,,Revista UniVap,2016
"SENA, Paulo Sérgio de",,,,,,Antropos (Manaus),
"SANTO, Renan Esaú Fernandes","SENA, Paulo Sérgio de",,,,,Revista Janus (Lorena),
