autor,autor,autor,autor,autor,per,ano
"SORDI, Neide Alves de ","PASSOS, Edilenice","SILVA, Andréia Gonçalves",,,Cadernos de Informação Juridica,2015
"SILVA, Marta Regina da","DIÉGUEZ, Carla Regina Mota Alonso",,,,Revista CRB-8 Digital,2012
"SILVA, Heloisa Spolador ","VALLS, Valéria Martin",,,,Revista CRB-8 Digital,2012
"SILVA, Andréia Gonçalves ","SILVA, Leonardo Gonçalves",,,,Informação & Informação (UEL. Online),2012
"SILVA, Andréia Gonçalves ","LARA, Marilda Lopes Ginez de",,,,Informação & Informação (UEL. Online),2015
"RUEDA, Valéria Matias da Silva","FREITAS, Aline de","VALLS, Valéria Martin",,,Revista CRB-8 Digital,2011
"RODRIGUES, Wellington Ferreira","VALLS, Valéria Martin","DIÉGUEZ, Carla Regina Mota Alonso",,,Revista Digital de Biblioteconomia e Ciência da Informação,2012
"RAMIREZ, Paulo Niccoli ",,,,,Aurora (PUCSP. Online),2012
"RAMIREZ, Paulo Niccoli ",,,,,Aurora (PUCSP. Online),2011
"RAMIREZ, Paulo Niccoli ",,,,,A trabe de Ouro,2014
"PIRES, Daniele Cristina Gonçalves Brene","SILVA, José Fernando Modesto da",,,,Revista ACB (Florianópolis),2015
"PIRES, Daniele Cristina Gonçalves Brene ","SILVA, José Fernando Modesto da",,,,Prisma.com,2013
"PIRES, Daniele Cristina Gonçalves Brene "," LOPES, Janaina","VALLS, Valéria Martin",,,Perspectivas em Gestao & Conhecimiento,2013
"PIRES, Daniele Cristina Gonçalves Brene  ","AMORIM, Wilson",,,,Revista de Carreiras & Pessoas,2012
"PAULA, Marciléia Aparecida de ","VALLS, Valéria Martin",,,,Revista Digital de Biblioteconomia e Ciência da Informação,2014
"OLIVEIRA, Lucia Carvalho de","CRESPO, Maria Rosa",,,,Revista CRB-8 Digital,2011
"MATOS, Denílson Santos de","OLIVEIRA, Emerson Soares de","AGUIAR, Francisco Lopes de",,,Revista CRB-8 Digital,2012
"MAGNO, Maria Ignês Carlos",,,,,REVISTA GEMInIS,2014
"MAGNO, Maria Ignês Carlos",,,,,"Comunicación - Revista Internacional de Comunicación Audiovisual, Publicidad y Literatura",2012
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2013
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2011
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2015
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2015
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2014
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2013
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2012
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2011
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2014
"MAGNO, Maria Ignês Carlos","GOSCIOLA, Vicente",,,,Razón y Palabra,2011
"MAGNO, Maria Ignês Carlos ","GOSCIOLA, Vicente","ALVES, Danielli de Almeida",,,Revista IniciAÇÃO em Pesquisa,2012
"FERRARAZ, Rogério","MAGNO, Maria Ignês Carlos",,,,Rumores (USP),2011
"DIÉGUEZ, Carla Regina Mota Alonso",,,,,Cadernos ADENAUER (São Paulo),2015
"DIÉGUEZ, Carla Regina Mota Alonso ","SILVEIRA, Luciana",,,,REDD - Revista Espaço de Diálogo e Desconexão,2013
"CRESPO, Maria Rosa ","COVRE,  Priscila","MACEDO, Elizeu Coutinho de",,,Psicopedagogia (São Paulo),2012
"BRITO, Regina Garcia ","VALLS, Valéria Martin",,,,REBECIN,2015
"ASSIS, Regiane Alves de","CALLEGARO, Tânia","TENÓRIO, Carolina Martins",,,Revista CRB-8 Digital,2012
"AGUIAR, Francisco Lopes de","TALÁMO, Maria de Fátima Gonçalves Moreira",,,,Acervo (Rio de Janeiro),2012
"VIANA, Márcio Aparecido Nogueira ","VALLS, Valéria Martin",,,,Future Studies Research Journal,2016
"SANTOS, Paulo César dos ","MASSELLI, Tania Maria","VIANA, Márcio Aparecido Nogueira"," VALLS, Valéria Martin","OLIVEIRA, Renata Cunha Vieira",Revista Brasileira de Biblioteconomia e Documentação,2010
"PUCCI JUNIOR, Renato Luiz ","CRESPO, Maria Rosa",,,,Lumina (UFJF. Online),2016
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2016
"MAGNO, Maria Ignês Carlos","CORREIO, Celia Cristina Torres",,,,Revista Comunicação & Educação,2016
"MAGNO, Maria Ignês Carlos ",,,,,Lumina (UFJF. Online),2016
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2010
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2010
"MAGNO, Maria Ignês Carlos",,,,,Revista Comunicação & Educação,2010
"RAMIREZ, Paulo Niccoli",,,,, Ponto-e-vírgula (PUCSP),2010
"SILVA, Andréia Gonçalves ","NASCIMENTO FILHO, Raimundo Hélio",,,,Cadernos de Informação Juridica,2016
"SOUZA, Adriana Maria de",,,,,Revista Brasileira de Biblioteconomia e Documentação,2016
