autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"ALMEIDA, Luís Fernando Magnanini de ","CONFORTO, Edivandro Carlos","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,Produto & Produção (Impresso),2012
"ALMEIDA, Marly Mizue Kaibara de ","MARINS, Fernando Augusto Silva","SALGADO, Andréia Maria Pedro","SANTOS, Fernando César Almada","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,"International Journal, Advanced Manufacturing Technology",2015
"ALMEIDA, Milene Rosa de","COSTA, Luzia Sigoli Fernandes",,,,,,,,,,,,,,,,,,,,,,,,,,,Versão Beta (UFSCar),2013
"AMARAL, Roniberto Morato do  ","AMORIM, Iara Rodrigues de",,,,,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Ciência da Informação (Impresso),2011
"AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","OPRIME, Pedro Carlos","ALLIPRANDINI, Dário Henrique",,,,,,,,,,,,,,,,,,,,,,,,,Ciência da Informação (Online),2015
"AMARAL, Roniberto Morato do","BESSI, Nayara Cristini","MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2013
"AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues","OPRIME, Pedro Carlos","ALLIPRANDINI, Dário Henrique",,,,,,,,,,,,,,,,,,,,,,,,Ciência da Informação (Online),2011
"AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de","MILANEZ, Douglas Henrique","LEIVA, Daniel Rodrigo","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,Scientometrics (Print),2014
"BARACAT, Alyssa Cecilia ","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,,,,,,,,,,,,,,,"Revista Brasileira de Ciência, Tecnologia e Sociedade",2011
"BARACAT, Alyssa Cecilia ","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,,,,,,,,,,,,,,,Liinc em Revista,2012
"BARBOSA, Henrianne ","RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,Redes.com (Sevilla),2013
"BARBOSA, Henrianne ","RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,Em Questão (UFRGS. Impresso),2011
