autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"ZURIAN HERNANDEZ, Adelino Francisco","MARTÍNEZ-ÁVILA, Daniel","GÓMEZ PRADA, Hernando C.",,,,,,,,,,,Área Abierta,2015
"AGUSTIN LACRUZ, María del Carmen","FUJITA, Mariângela Spotti Lopes","TERRA, Ana Lúcia Silva",,,,,,,,,,,Informação & Sociedade (UFPB. Online),2014
"AGUSTIN LACRUZ, María del Carmen","FUJITA, Mariângela Spotti Lopes","GÓMEZ DIAZ, Raquel",,,,,,,,,,,Transinformação,2011
"ALENCAR, Cely Martins Santos de  ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Liinc em Revista,2013
"ALMEIDA, Carlos Cândido de","FUJITA, Mariângela Spotti Lopes","REIS, Daniela Marjorie dos",,,,,,,,,,,Knowledge Organization,2013
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Scire (Zaragoza),2012
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Scire (Zaragoza),2014
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2012
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Revista EDICIC,2011
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Liinc em Revista,2011
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Knowledge Organization,2012
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Datagramazero (Rio de Janeiro),2011
"ALMEIDA, Daniela Pereira dos Reis de",,,,,,,,,,,,,Revista EDICIC,2011
"ALVES, Bruno Henrique","PAVANELL, Maria Aparecida","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,Em Questão,2014
"ALVES, Bruno Henrique","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,Scire (Zaragoza),2012
"ALVES, Roberta Caroline Vesu","MORAES, João Batista Ernesto de","ALMEIDA, Carlos Cândido de",,,,,,,,,,,Scire (Zaragoza),2014
"ANDRADE, Andresa Léia de","ALMEIDA, Daniela Pereira dos Reis de",,,,,,,,,,,,Revista EDICIC,2011
"ANJOS, Priscila Maria dos","MOREIRA, Walter",,,,,,,,,,,,Revista de educação cultura e comunicação do Curso de Comunicação Social das Faculdades Integradas Teresa D'Ávila - Fatea,2011
"ARAKAKI, Felipe Augusto  ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","ALVES, Rachel Cristina Vesu",,,,,,,,,,,Revista ACB (Florianópolis),2015
"ARAYA, Elizabeth Roxana Mass","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Information Services & Use,2012
"ARAYA, Elizabeth Roxana Mass","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2011
"ARBOIT, Aline Elis","MARTINS, Rúbia",,,,,,,,,,,,Aurora (UNESP. Marília),2013
"ARBOIT, Aline Elis","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Knowledge Organization,2015
"ASSUMPCAO, Fabrício Silva","SANTANA, Ricardo Cesar Gonçalves","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,Em Questão,2015
"ASSUMPÇÃO, Fabrício Silva","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontros Bibli,2013
"ASSUMPÇÃO, Fabrício Silva","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Informação & Informação (UEL. Online),2013
"ASSUMPCAO, Fabrício Silva","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2015
"ATIJA, Mohinder Partap  ","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,,Annals of Library and Information Studies,2014
"BARROS, Thiago Henrique Bragato","TOGNOLI, Natália Bolfarini",,,,,,,,,,,,Ponto de Acesso (UFBA),2011
"BARROS, Thiago Henrique Bragato","MORAES, João Batista Ernesto de",,,,,,,,,,,,Ágora,2013
"BASTOS, Flávia Maria","VIDOTTI, Silvana Aparecida Borsetti Gregorio","ODDONE, Nanci Elizabeth",,,,,,,,,,,Information Services & Use,2012
"BEMBEM, Angela Halen Claro","PINHO NETO, Júlio Afonso Sá de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,Em Questão,2014
"BEMBEM, Angela Halen Claro","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SANTAREM SEGUNDO, Jose Eduardo",,,,,,,,,,,Folha de Rosto: Revista de Biblioteconomia e Ciência da Informação,2015
"BEMBEM, Angela Halen Claro","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2014
