autor,autor,autor,autor,per,ano
"YAMASHITA, Denise Sana   ","CASSARES, Norma Cianflone","PALHARES, Maria Cristina Palhares",,Revista CRB-8 Digital,2011
"THOMAS, Fabiane ","PALHARES, Maria Cristina Palhares",,,Revista CRB-8 Digital,2011
"SILVA, Eliana Barboza de Oliveira ","SERRA, Liliana Giusti "," CASSARES, Norma Cianflone","PALHARES, Maria Cristina Palhares",Revista CRB-8 Digital,2011
"SILVA, Angela Aparecida Gimenes  ","PALHARES, Maria Cristina Palhares",,,Revista CRB-8 Digital,2011
"RODRIGUES, José Iesca","GIMENEZ, Claudemir","PROETTI, Sidney",,Business Management Review (BMR),2015
"PROETTI, Sidney",,,,Interação (São Paulo),2012
"PROETTI, Sidney","RODRIGUES, José Iesca","GIMENEZ, Claudemir",,Business Management Review (BMR),2015
"PINHO, Ana Carla de Oliveira Mello Costa",,,,Cadernos de Educação (UMESP),2013
"PINHO, Ana Carla de Oliveira Mello Costa",,,,Revista Pedagógica,2013
"PINHO, Ana Carla de Oliveira Mello Costa",,,,Cadernos de Educação (UMESP),2014
"PINHO, Ana Carla de Oliveira Mello Costa ",,,,Revista de Direito Constitucional e Internacional,2015
"PINHO, Ana Carla de Oliveira Mello Costa ",,,,Revista IMES,2011
"PALHARES, Maria Cristina Palhares","MAGALHÃES, Michelle Cristina",,,Biblos: Revista do Instituto de Ciências Humanas e da Informação,2015
"PALHARES, Maria Cristina Palhares","LIBERATO, Maria Sueli",,,Biblos: Revista do Instituto de Ciências Humanas e da Informação,2015
"MOURA, Amanda Pacini de ",,,,Cosmopolis,2014
"MOURA, Amanda Pacini de ","LARA, Marilda Lopes Ginez de",,,Perspectivas em Ciência da Informação,2012
"MOURA, Amanda Pacini de ","BACALGINI, Bruna",,,Revista Anagrama (USP),2011
"LOEB, Maria Cecília Vianna","PALHARES, Maria Cristina Palhares",,,Revista CRB-8 Digital,2011
"CANELAS, Lygia Luzia Cordon ","PALHARES, Maria Cristina Palhares",,,Revista CRB-8 Digital,2011
