autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"VIANA, Lilian ","PIERUCCINI, Ivete",,,,,,,Tendências da Pesquisa em Ciência da Informação,2015
"TUESTA, Esteban Fernandez ","DELGADO, Karina Valdivia","MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio","MENA-CHALCO, Jesus","PEREZ-ALCAZAR, José de Jesús",,,Plos One,2015
"TUESTA, Esteban Fernandez","DELGADO, Karina Valdivia","MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio","MENA-CHALCO, Jesus","PEREZ-ALCAZAR, José de Jesús",,,RESI : Revista Eletrônica de Sistemas de Informação,2015
"TALAMO, Maria de Fátima Gonçalves Moreira","MAIMONE, Giovana Deliberali",,,,,,,Datagramazero (Rio de Janeiro),2012
"SOARES, Maria Sueny Barbosa","MARTINS, Mariana Thamires","FRANCELIN, Marivalde Moacir",,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2013
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,,Todas as Musas: Revista de Literatura e das Múltiplas Linguagens da Arte (Online),2012
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,,Ponto de Acesso (UFBA),2013
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,,Pandaemonium Germanicum (Online),2011
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,,Nona Arte: Revista Brasileira de Pesquisas em Histórias em Quadrinhos,2014
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,,Journal of Educational an Social Research,2012
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,,Nona Arte - Revista Brasileira de Pesquisa em HQ,2012
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,,Journal of Educational and Social Research,2013
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,,Mediterranean Journal of Social Sciences,2012
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,,Journal of Education and Vocational Research,2012
"SIQUEIRA, Ivan Claudio Pereira ","SIQUEIRA, Jéssica Câmara",,,,,,,Biblionline (João Pessoa),2014
"SIQUEIRA, Ivan Claudio Pereira ","SILVA, José Fernando Modesto da",,,,,,,"Bibliotecas Universitárias: pesquisas, experiências e perspectivas",2011
"SILVA, Lucas Carlos de Oliveira ","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,,Revista CRB-8 Digital,2012
