autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"VILLELA, Edlaine Faria de Moura","ALMEIDA, Marco Antônio de",,,,,,,Saúde e Sociedade (USP. Impresso),2013
"VILLELA, Edlaine Faria de Moura","ALMEIDA, Marco Antônio de",,,,,,,"RECIIS. Revista eletrônica de comunicação, informação & inovação em saúde",2012
"TOFFOLI, Geni Aparecida Toffoli","FERREIRA, Sueli Mara Soares Pinto",,,,,,,Psicologia USP (Impresso),2011
"TELLES, Cynara Maria Andrade","GIORGENON, Daniela","SOUZA, Juliana Christina Rezende de","ROMÃO, Lucília Maria Sousa","FERRAREZI, Ludmila","PACÍFICO, Soraya Maria Romano",,,Texto Digital (UERJ),2011
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Cadernos de Pesquisa Interdisciplinar em Ciências Humanas (Online),2011
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Em Questão,2011
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Dialogos (Maringa),2015
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Animus (Santa Maria. Online),2014
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Revista de História Regional,2011
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,In Texto (UFRGS. Online),2012
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Logos (UERJ. Impresso),2013
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,Revista FAMECOS (Online),2014
"SOUZA, Jéssica Oliveira de","SANTAREM SEGUNDO, José Eduardo",,,,,,,Journal on Advances in Theoretical and Applied Informatics,2015
"SOUZA, Jéssica Oliveira de  ","BOTEGA, Leonardo","SANTAREM SEGUNDO, José Eduardo","BERTI, Claudia",,,,,Procedia Manufacturing,2015
"SILVA, Márcia Regina da",,,,,,,,Biblioteca Escolar em Revista,2012
"SILVA, Márcia Regina da","SILVA, Jeane dos Santos","SANTOS-ROCHA, Ednéia Silva",,,,,,Liinc em Revista,2013
"SILVA, Márcia Regina da","MOSTAFA, Solange Puntel",,,,,,,Filosofia e Educação,2013
"SILVA, Márcia Regina da","HAYASHI, Carlos Roberto Massao","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"SILVA, Márcia Regina da","CASTRO FILHO, Cláudio Marcondes de","QUIRINO, Paula Oliveira",,,,,,Brazilian Journal of Information Science,2012
"SILVA, Lucia Aparecida da","DAMIAN, Ieda Pelogia Martins","PÁDUA, Silvia Inês Dallavalle de",,,,,,Business Process Management Journal,2012
"SILVA, Jonathan Raphael Bertassi da  ","ROMÃO, Lucília Maria Sousa",,,,,,,Datagramazero (Rio de Janeiro),2012
"SILVA, Jonathan Raphael Bertassi da  ","ROMÃO, Lucília Maria Sousa",,,,,,,Ciberlegenda (UFF. Online),2012
"SILVA, Jonathan Raphael Bertassi da","ROMÃO, Lucília Maria Sousa",,,,,,,Estudos Linguísticos,2011
"SILVA, Jonathan Raphael Bertassi da","ROMÃO, Lucília Maria Sousa",,,,,,,Datagramazero (Rio de Janeiro),2011
"SCORSOLINI-COMIN, Fabio","PACÍFICO, Soraya Maria Romano","ROMÃO, Lucília Maria Sousa",,,,,,Raído (UFGD),2011
"SCHERER, Amanda Eloina","ROMÃO, Lucília Maria Sousa","MEDEIROS, Vanise Gomes de","PETRI, Verli",,,,,Revista Letras (UFSM),2014
