Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"GURPILHARES, Marlene Silva Sardinha","ANGULO, Maria Teresa de Aquino Almeida",,,,,Gráfica e Editora Santa Teresa,2012
"GURPILHARES, Marlene Silva Sardinha","CARVALHO, Renan Maurício de",,,,,Gráfica e Editora Santa Teresa,2012
"GURPILHARES, Marlene Silva Sardinha","FERRAZ, Rosiléa do Nascimento",,,,,Lighthouse,2015
"GURPILHARES, Marlene Silva Sardinha","FERREIRA, Flavia Liliane Amorim",,,,,Lighthouse,2015
"GURPILHARES, Marlene Silva Sardinha","GUIMARÃES, Fabio Augusto",,,,,Gráfica e Editora Santa Teresa,2012
"GURPILHARES, Marlene Silva Sardinha","SANTOS, Naiara Leite dos.",,,,,Lighthouse,2015
"MONTEMOR, Rosana do Carmo",,,,,,CCTA,2014
"PAIXAO, Sônia Cristina Gomes dos Santos","GURPILHARES, Marlene Silva Sardinha.",,,,,Gráfica e Editora Santa Teresa,2012
"SENA, Paulo Sérgio de","SANTOS, Ricardo Mendonça Neves dos","MATOS, R. C. C.","SOUZA, J.",,,Instituto Santa Teresa,2014
"SENA, Paulo Sérgio de",,,,,,Instituto Santa Teresa,2014
"SILVA,Pablo Joevalner Bastos da","CARVALHO, Natalha Gabrieli Moreira","VEIGA, Camila Loricchio","SENA, Paulo Sérgio de","RIBEIRO, Rosinei Batista","MATIAS, Nelson Tavares",Estação das Letras e Cores Editora,2013
"SIQUEIRA, Sônia Maria Gonçalves",,,,,,Instituto Santa Teresa,2014
"VEIGA, Camila Loricchio","MATIAS, Nelson Tavares","SENA, Paulo Sérgio de","RIBEIRO, Rosinei Batista","ROSA, Jorge Luiz",,Estação das Letras e Cores Editora,2013
"JUNQUEIRA, João Francisco Pereira Nunes",,,,,,Jornal O Lince,2012
"MATIAS, Nelson Tavares","SENA, Paulo Sérgio de","RIBEIRO, Rosinei Batista","ARAÚJO, Claudia Lysia de Oliveira","CARVALHO, Natalha Gabrieli Moreira",,Springer International Publishing,2016
"SANTOS, Ricardo Mendonça Neves dos","SENA, Paulo Sérgio de","GONCALVES, A. L. S. ",,,,Instituto Santa Teresa,2016
