Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"VECCHIO, Angelo del","DIÉGUEZ, Carla Regina Mota Alonso",,,,,,,,Editora Sociologia e Política,2015
"VALLS, Valéria Martin","SOUZA, Adriana Maria","SOUZA, Rosa Maria Andrade Grillo Beretta",,,,,,,Editora Sociologia e Política,2011
"PUCCI JUNIOR, Renato Luiz ","GOSCIOLA, Vicente","FERRARAZ, Rogério","MAGNO, Maria Ignês Carlos",,,,,,Sulina,2015
"PUCCI JUNIOR, Renato Luiz","GOSCIOLA, Vicente","FERRARAZ, Rogério","MAGNO, Maria Ignês Carlos",,,,,,Sulina,2013
"PINAZZA, Natália","MAGNO, Maria Ignês Carlos","FERRARAZ, Rogério","PATRUNO, Luigi","BRIGIDO-CORACHAN, Anna. M.","SILVA, Juliano Gonçalves da"," KNOPF, Kerstin","SCHVARZMAN, Sheila"," FAULHABER, Priscila",Bristol; Intellect Books,2013
"MAGNO, Maria Ignês Carlos",,,,,,,,,Bristol; Intellect Books,2013
"MAGNO, Maria Ignês Carlos",,,,,,,,,Bristol; Intellect Books,2013
"MAGNO, Maria Ignês Carlos",,,,,,,,,Bristol; Intellect Books,2013
"MAGNO, Maria Ignês Carlos ",,,,,,,,,Edições Cine-Club de Avanca,2012
"MAGNO, Maria Ignês Carlos",,,,,,,,,Bristol; Intellect Books,2013
"MAGNO, Maria Ignês Carlos ",,,,,,,,,Bristol; Intellect Books,2013
"MAGNO, Maria Ignês Carlos",,,,,,,,,Congresso Ibero-Americano de Comunicação,2015
"MAGNO, Maria Ignês Carlos ","GOSCIOLA, Vicente",,,,,,,,Altamira Editorial,2012
"MAGNO, Maria Ignês Carlos ","GOSCIOLA, Vicente",,,,,,,,Bonilla Artigas Editores,2014
"MAGNO, Maria Ignês Carlos","GOSCIOLA, Vicente",,,,,,,,Edições Cine-Club de Avanca,2011
"MAGNO, Maria Ignês Carlos ","FERRARAZ, Rogério",,,,,,,,Editora UFPE,2014
"DIÉGUEZ, Carla Regina Mota Alonso ",,,,,,,,,Annablume,2015
"DIÉGUEZ, Carla Regina Mota Alonso ","SILVEIRA, Luciana",,,,,,,,Governo do Estado de São Paulo; Fundação Escola de Sociologia e Política de São Paulo,2014
"BRITO, Fernanda Kelly Silva de ","SILVA, Regiane Caire","CARVALHO, Zínia","BELTRAN, Maria Helena Roxo Beltran",,,,,,Editora Livraria da Física,2014
"AGNO, Maria Ignês Carlos",,,,,,,,,Editora a lápis,2012
"MAGNO, Maria Ignês Carlos","FERRARAZ, Rogério",,,,,,,,Editora a lápis,2016
