Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"ZAUITH, Gabriela  ","OGATA, Márcia Niituma Niituma","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,EDUFSCar,2011
"ALMEIDA, Luís Fernando Magnanini de  ","ALMEIDA, Mateus Jonsson de","SILVA, Sergio Luis da",,,,,Elsevier,2014
"ANTONIO, Alexei David","GRACIOSO, Luciana de Souza",,,,,,Pedro e João Editores,2013
"BARACAT, Alyssa Cecilia","RIGOLIN, Camila Carneiro Dias",,,,,,EDUFSCar,2011
"BARBOSA, Henrianne ","RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,Editora Alinea,2015
"BARBOSA, Henrianne","RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,Editora Alinea,2015
"BARBOSA, Henrianne ","RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,Editora Alinea,2012
"BARBOSA, Henrianne ","HAYASHI, Carlos Roberto Massao","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,Hucitec Editora,2012
"BELLO, Suzelei Faria ","MACHADO, Andréa Carla","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,Cultura Acadêmica,2015
"BELLO, Suzelei Faria","PIZZANI, Luciana","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,Pedro e João Editores,2013
"BELLO, Suzelei Faria","PIZZANI, Luciana","HAYASHI, Maria Cristina Piumbato Innocentini","MACHADO, Andréa Carla",,,,Pedro e João Editores,2013
"BERBEL, Danilo Brancalhão","RIGOLIN, Camila Carneiro Dias",,,,,,Hucitec Editora,2012
"BERNARDINO, Mayara Cristina","GRACIOSO, Luciana de Souza",,,,,,Pedro e João Editores,2013
"BOCCATO, Vera Regina Casari","GRACIOSO, Luciana de Souza",,,,,,Colegio de Traductores Públicos de la Ciudad de Buenos Aires,2012
"CAMARGO, Gerson Marcelo ","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2015
"CARDOSO, Martha Regina Bortolato","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2012
"CARLOS, Kamilla Vinha","GRACIOSO, Luciana de Souza","FERRARI JUNIOR, Roberto",,,,,Pedro e João Editores,2013
"CARVALHO NETO, Gil Ramos de","HAYASHI, Carlos Roberto Massao","FERRAZ, Maria Cristina Comunian",,,,,EDUFSCar,2011
"CORSATTO, Cássia Aparecida","HOFFMANN, Wanda Aparecida Machado",,,,,,EDUFSCar,2011
