Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,Alameda Casa Editorial,2012
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,AAB,2013
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","OLIVEIRA, Henry Poncio Cruz de",,,,,,,,Editora UFC,2013
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Editora UFPb,2013
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,ABECIN,2015
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Thesaurus,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,Interciência,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,Cultura Acadêmica,2012
"VALENTIM, Marta Lígia Pomim",,,,,,,,,EDUFBA,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,Thesaurus,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,EDUFF,2013
"VALENTIM, Marta Lígia Pomim","LÜCK, Esther Hermes",,,,,,,,FUNDEPE,2014
"VALENTIM, Marta Lígia Pomim","ALMEIDA, Daniela Pereira dos Reis de","SILVA, Elaine da da",,,,,,,Universidad Complutense de Madrid,2015
"TOGNOLI, Natália Bolfarini",,,,,,,,,Eduel,2013
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,Nova Terra,2015
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,Editora UFC,2015
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,Editora UFC,2014
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,Editora UFC,2012
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2015
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim",,,,,,,,IGI Global,2015
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim","FADEL, Bárbara",,,,,,,FCI/UnB,2015
"SEMIDÃO, Rafael Aparecido Moron","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2012
"SEMEGHINI, Maria Luiza Carpi  ","VALENTIM, Marta Lígia Pomim",,,,,,,,Usina de Letras,2011
"SANTOS, Cassia Dias","VALENTIM, Marta Lígia Pomim","SOUZA, Juliete Susann Ferreira de",,,,,,,FCI/UnB,2015
"SANTARÉM, Vinícius","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,Uni-FACEF,2015
"RUBI, Milena Polsineli","FUJITA, Mariângela Spotti Lopes","BOCCATO, Vera Regina Casari",,,,,,,Cultura Acadêmica,2012
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,FUESPI,2015
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,ARQ-SP,2012
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,Cultura Acadêmica,2012
"RODRIGUEZ, Sonia Maria Troitiño","SOUSA, Cristiane Alves de",,,,,,,,AAB/MAST,2013
"RODRIGUEZ, Sonia Maria Troitiño  ","SOUSA, Cristiane Alves de",,,,,,,,Fundação Casa de Rui Barbosa,2015
"RODRIGUEZ, Sonia Maria Troitiño","CAVALHEIRO, Marcos Ulisses",,,,,,,,FUESPI,2015
"RODRIGUEZ, Sonia Maria Troitiño","BIZELLO, Maria Leandra",,,,,,,,Fundação Casa de Rui Barbosa,2015
"PAULO, Rodrigo Barbosa de  ","CASARIN, Helen de Castro Silva",,,,,,,,FCI/UnB,2015
"OVALLE-PERANDONES, María Antonia","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,Editorial Universitaria Ramón Areces,2013
"OLIVEIRA, Henry Poncio Cruz de","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Editora UFC,2012
"OLIVEIRA, Henry Poncio Cruz de","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Editora UFC,2015
"OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,Pedro & João Editores,2013
"NORTE, Mariângela Braga",,,,,,,,,Cultura Ecônomica,2013
"NORTE, Mariângela Braga",,,,,,,,,Cultura Acadêmica,2014
"NORTE, Mariângela Braga","MESSIAS, Rozana Aparecida Lopes",,,,,,,,Cultura Acadêmica,2014
"NORTE, Mariângela Braga","MESSIAS, Rozana Aparecida Lopes","GARCIA, Daniela Nogueira de Moraes",,,,,,,Cultura Acadêmica,2014
"NAVARRO, Tiago Silva Rodrigues","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,Fundação Casa de Rui Barbosa,2015
"NASCIMENTO, Natália Marinho do","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2012
"NASCIMENTO, Natália Marinho do","SOUZA, Juliete Susann Ferreira de","VALENTIM, Marta Lígia Pomim","MORO-CABERO, María Manuela",,,,,,Uni-FACEF,2015
"MARTINS, Gracy Kelli","MORAES, João Batista Ernesto de",,,,,,,,Editora UFC,2012
"MARTINS, Gracy Kelli","MORAES, João Batista Ernesto de",,,,,,,,Editora UFC,2014
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,Prof. P. Ranasinghe Foundation,2014
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,Enriched Publications Pvt.Ltd,2015
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,Creapress servicios integrales S.L. Valdemoro,2013
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,A. K. Publications,2014
"MAGALHÃES, Gildo","MADIO, Telma Campanha de Carvalho",,,,,,,,Alameda Casa Editorial,2012
"MADIO, Telma Campanha de Carvalho",,,,,,,,,Cultura Acadêmica,2012
"MADIO, Telma Campanha de Carvalho",,,,,,,,,Pinacoteca,2011
"MADIO, Telma Campanha de Carvalho","VIANA, Gilberto Fladimar Rodrigues",,,,,,,,EDUFBA,2015
"LEMOS, Joana Gusmão","OLIVEIRA, João Augusto Dias Barreira e","SILVA, Talita Cristina da","PADUA, Mariana Cantisani","SILVA, Anahi Rocha","GONCALEZ, Paula Regina Ventura Amorim","JORENTE, Maria José Vicentini","SILVA, Rafaela Carolina","NAKANO, Natalia",Canal 6,2015
"KAJIMOTO, Natacha","VALENTIM, Marta Lígia Pomim",,,,,,,,Uni-FACEF,2015
"KAJIMOTO, Natacha","CAVALCANTE, Lidia Eugênia","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,Uni-FACEF,2015
"JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2015
"GUIMARÃES, José Augusto Chaves",,,,,,,,,Editora da UFPB,2015
"GUIMARÃES, José Augusto Chaves",,,,,,,,,FUNDEPE,2014
"GUIMARÃES, José Augusto Chaves","TOGNOLI, Natália Bolfarini",,,,,,,,EDUFBA,2013
"GUIMARÃES, José Augusto Chaves","FERNANDEZ-MOLINA, Juan Carlos",,,,,,,,"UNAM, Centro Universitario de Investigaciones Bibliotecológicas",2011
"GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de","HORIGUELA, Maria de Lourdes Morales",,,,,,,Cultura Acadêmica,2012
"GARCIA, Joana Coeli Ribeiro","VALENTIM, Marta Lígia Pomim","PERROTTI, Edmir","TARGINO, Maria das Graças",,,,,,Idea,2011
"GARCIA, Cristiane Luiza Salazar","SILVA, Elaine da da","JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,Interciência,2015
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Cultura Acadêmica,2012
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Editora da UFPB,2015
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Alínea,2011
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Cultura Acadêmica,2012
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Cultura Acadêmica,2012
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Cultura Acadêmica,2015
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Cultura Acadêmica,2014
"FUJITA, Mariângela Spotti Lopes","GIL LEIVA, Isidoro",,,,,,,,Cultura Acadêmica,2012
"FERREIRA, Ana Maria Jensen Ferreira da Costa","BRITO, Jean Fernandes","CONEGLIAN, André Luís Onório","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,Editora UnB,2015
"FERNEDA, Edberto","LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","JORENTE, Maria José Vicentini",,,,,,Cultura Acadêmica,2013
"FERNEDA, Edberto","LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,ABECIN,2015
"ELLIOTT, Ariluci Goes","MADIO, Telma Campanha de Carvalho",,,,,,,,Editora UFC,2012
"CONEGLIAN, André Luís Onório","CASARIN, Helen de Castro Silva",,,,,,,,Thesaurus,2014
"CERVANTES, Brígida Maria Nogueira","FUJITA, Mariângela Spotti Lopes",,,,,,,,Eduel,2012
"CAVATTI SOBRINHO, Heliomar","FUJITA, Mariângela Spotti Lopes",,,,,,,,Editora UFC,2015
"CAVATTI SOBRINHO, Heliomar","FUJITA, Mariângela Spotti Lopes",,,,,,,,Editora UFC,2015
"CAVATTI SOBRINHO, Heliomar","FUJITA, Mariângela Spotti Lopes",,,,,,,,Editora UFC,2012
"CASARIN, Helen de Castro Silva",,,,,,,,,Cultura Acadêmica,2012
"CASARIN, Helen de Castro Silva","SANTOS, Amanda Sertori",,,,,,,,Cultura Acadêmica,2011
"CASARIN, Helen de Castro Silva","SANTOS, Amanda Sertori","RAMALHO, Andressa de Souza","OLIVEIRA, Etiene Siqueira de",,,,,,Cultura Acadêmica,2011
"CASARIN, Helen de Castro Silva","CONEGLIAN, André Luís Onório",,,,,,,,Cultura Acadêmica,2014
"CÂNDIDO, Gilberto Gomes  ","SILVA,  Irisneide de Oliveira Souza","FUJITA, Mariângela Spotti Lopes",,,,,,,Colegio de Traductores Públicos de la Ciudad de Buenos Aires,2012
"CALDAS, Rosângela Formentini",,,,,,,,,Cultura Acadêmica,2014
"CALDAS, Rosângela Formentini",,,,,,,,,Cultura Acadêmica,2015
"BRITO, Jean Fernandes","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Editora UnB,2015
"BOCCATO, Vera Regina Casari","FUJITA, Mariângela Spotti Lopes","RUBI, Milena Polsineli",,,,,,,Cultura Acadêmica,2014
"BOCCATO, Vera Regina Casari","FUJITA, Mariângela Spotti Lopes",,,,,,,,Colegio de Traductores Públicos de la Ciudad de Buenos Aires,2012
"BIZELLO, Maria Leandra",,,,,,,,,MAST,2012
"BIZELLO, Maria Leandra",,,,,,,,,Cultura Acadêmica,2012
"BIZELLO, Maria Leandra",,,,,,,,,Museu de Astronomia e Ciências Afins,2014
"BIZELLO, Maria Leandra","MADIO, Telma Campanha de Carvalho",,,,,,,,Thesaurus,2011
"BIZELLO, Maria Leandra","GRACIANO, Maítha Elena Tosta",,,,,,,,Fundação Casa de Rui Barbosa,2015
"BIAGGI, Camila de","VALENTIM, Marta Lígia Pomim",,,,,,,,FCI/UnB,2015
"ANDRADE, Wendia Oliveira de","NEVES, Dulce Amélia de Brito","FUJITA, Mariângela Spotti Lopes","RAMALHO, Francisca Arruda .",,,,,,Editora da UFPB,2015
"ALVES, Rachel Cristina Vesu","ARAKAKI, Felipe Augusto","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SIMIONATO, Ana Carolina",,,,,,Editora UnB,2015
"ALVES, Bruno Henrique","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,Pedro & João Editores,2013
"ALVES, Ana Paula Meneses","CASARIN, Helen de Castro Silva","MOLINA, Juan Carlos Fernández",,,,,,,FCI/UnB,2015
"ALMEIDA, Daniela Pereira dos Reis de",,,,,,,,,Interciência,2015
"ALMEIDA, Carlos Cândido de",,,,,,,,,Thesaurus,2011
"ALENCAR, Cely Martins Santos de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,Editora UFC,2012
"AGUSTIN LACRUZ, María del Carmen","GÓMEZ DIAZ, Raquel","FUJITA, Mariângela Spotti Lopes",,,,,,,Prensas Universitarias de Zaragoza,2011
"MATA, Marta Leandro da ","CASARIN, Helen de Castro Silva","MARZAL, Miguel Ángel",,,,,,,EDUFBA,2016
"CONEGLIAN, André Luís Onório","SANTOS, Camila Araújo dos","CASARIN, Helen de Castro Silva",,,,,,,Cultura Acadêmica,2010
"FADEL, Bárbara","ALMEIDA, Carlos Cândido de","CASARIN, Helen de Castro Silva","VALENTIM, Marta Lígia Pomim","ALMEIDA JUNIOR, Oswaldo Francisco de","BELLUZZO, Regina Célia Baptista",,,,Cultura Acadêmica,2010
"MATA, Marta Leandro da","CASARIN, Helen de Castro Silva",,,,,,,,Cultura Acadêmica,2010
"SILVA, Marli Vítor da","CASARIN, Helen de Castro Silva",,,,,,,,Cultura Acadêmica,2010
"JORENTE, Maria José Vicentini ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","MADIO, Telma Campanha de Carvalho",,,,,,,ECA/USP,2010
"TORRIZELLA, Ana Paula Ferreira","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"VALENTIM, Marta Lígia Pomim",,,,,,,,,Cultura Acadêmica,2010
"VALENTIM, Marta Lígia Pomim","PIRES,  Laís Munin",,,,,,,,Cultura Acadêmica,2010
"CAVALCANTE, Luciane de Fátima Beckman","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"BUENO, Danilo André","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"GARCIA, Cristiane Luiza Salazar","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"PACHECO, Cintia Gomes","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"CAVALCANTE, Luciane de Fátima Beckman","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"LOUSADA, Marian","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,ARQ-SP,2016
"PACHECO, Cíntia Gomes","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"LOPES, Gustavo Adolfo","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,Uni-FACEF,2016
"LOUSADA, Mariana","VALENTIM, Marta Lígia Pomim",,,,,,,,Cultura Acadêmica,2010
"ALMEIDA, Maria Fabiana Izidio de","VITORIANO, Marcia Cristina de Carvalho Pazin","CRIVELLARO, Fernanda Furio",,,,,,,Uni-FACEF,2016
"CALDAS, Rosângela Formentini","SILVA, Eduardo Graziosi","MARTÍNEZ-ÁVILA, Daniel",,,,,,,UNESP,2016
"SANTAREM, Vinícius ","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,Uni-FACEF,2016
"JORENTE, Maria José Vicentini","LEMOS, Joana Gusmão","OLIVEIRA, João Augusto Dias Barreira ",,,,,,,Interciência,2016
"VITORIANO, Marcia Cristina de Carvalho Pazin ",,,,,,,,,CICEES Ediciones,2016
"JORENTE, Maria José Vicentini",,,,,,,,,Cultura Acadêmica,2916
"BIZELLO, Maria Leandra ",,,,,,,,,UNESP,2016
"SANTOS, João Carlos Gardini ","GUIMARÃES, José Augusto Chaves",,,,,,,,Faculdade de Letras da Universidade do Porto,2016
"BIZELLO, Maria Leandra ",,,,,,,,,Compacta Gráfica e Editora,2010
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Cultura Acadêmica,2016
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,Cultura Acadêmica,2016
"CALDAS, Rosângela Formentini","RICARDO, Filipe ","ABREU, Janice Pereira de","COSTA, Mariana Bueno",,,,,,USP,2016
"FUJITA, Mariângela Spotti Lopes","FAVATO, Vania Aparecida Marques","ZANIBONI, Maria Marlene","FAGUNDES, Silvana Aparecida",,,,,,Cultura Acadêmica,2016
"FUJITA, Mariângela Spotti Lopes","SCUTARI, Sônia Mara Alves","GATI, Cássia Adriana de Santana","SANTOS, Luciana Beatriz Piovezan dos",,,,,,Cultura Acadêmica,2016
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,Idéia,2010
"MOREIRA, Walter",,,,,,,,,UNESP,2016
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Eduel,2016
"CAMARGO, Liriane Soares de Araújo","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,ECA/USP,2010
"OLIVEIRA, Henry Poncio Cruz de","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Editora UFPB,2016
