Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"MEI, A. ","AVELINE, Marcelo Stefaniak","CÔRTES, Pedro Luiz",,,,,,,,Uninove - CAPES,2012
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,,,,Thesaurus,2015
"SILVA, José Fernando Modesto da",,,,,,,,,,Thesaurus,2015
"SILVA, José Fernando Modesto da",,,,,,,,,,Thesaurus,2015
"SILVA, José Fernando Modesto da ",,,,,,,,,,Conselho Federal de Biblioteconomia,2015
"SILVA, José Fernando Modesto da",,,,,,,,,,Thesaurus,2015
"SILVA, José Fernando Modesto da ","SANTOS, Marcelo dos","PRAZERES, Ana Paula Pereira dos",,,,,,,,Ateliê Editorial,2011
"SHEIK, Simon","GROSSMANN, Martin","PIROTTE, Philippe","KAPUR, Geeta","LIND, Maria",,,,,,Apple arts centre,2013
"SANTOS, Cibele Araujo Camargo Marques dos ","MAZINI, Elizabeth Sardell",,,,,,,,,Editora Sociologia e Política,2011
"RUIZ, Mauro Silva;","CÔRTES, Pedro Luiz","BRESCANSIN, Ademir","COSTA, Luiz Henrique da",,,,,,,UNINOVE,2014
"RUIZ, Mauro Silva ","AGUIAR, A. O. E.","CÔRTES, Pedro Luiz","TEIXEIRA, Cláudia Echevenguá","GRAUDENZ, Gustavo Silveira",,,,,,Intech,2012
"RODREIGUES, R.","CÔRTES, Pedro Luiz","Gabriel, M.L.D.S. ",,,,,,,,uninove – CAPES,2012
"PINTO, Daniela Maciel ","SANTOS, Marcelo dos",,,,,,,,,ECA/USP,2015
"PIERUCCINI, Ivete ",,,,,,,,,,Ática,2011
"PIERUCCINI, Ivete","PERROTTI, Edmir",,,,,,,,,Alphabeto,2011
"PERROTTI, Edmir","PIERUCCINI, Ivete",,,,,,,,,ACERP/TV Escola,2013
"PASSARELLI, Brasilina","VETRITTI, Fabiana Grieco Cabral de Mello",,,,,,,,,UEPG/PROEX,2015
"PASSARELLI, Brasilina ","VETRITTI, Fabiana Grieco Cabral de Mello",,,,,,,,,IGI Global,2015
"PASSARELLI, Brasilina","RIBEIRO, Fernanda","OLIVEIRA, Lidia","MEALHA, Oscar",,,,,,,Senac,2014
"PASSARELLI, Brasilina","PALETTA, Francisco Carlos",,,,,,,,,IGI Global,2015
"PASSARELLI, Brasilina","ANGELUCI, Alan César Belo",,,,,,,,,IGI Global,2013
"PASCHOALIN FILHO, João Alexandre  ","CÔRTES, Pedro Luiz","STOROPOLI, João Henrique ","GRAUDENZ, Gustavo Silveira",,,,,,,uninove – CAPES,2012
"PALETTA, Francisco Carlos ",,,,,,,,,,Mais Projetos Gestão e Capacitação Socioambiental,2011
"PALETTA, Francisco Carlos ","COELHO, Suani Teixeira","ZILLES, Roberto","BENEDITO, Ricardo","LÚCIO, Geraldo","MAMBELLI, Regina","GALHARDO, Camila","PEREIRA, Elisabeth","SILVA, Ennio Peres","PINHO, João Tavares",Edgard Blucher,2012
"OLIVEIRA, Lúcia Maciel Barbosa de ","SOUZA E SILVA, Lilian","MELEIRO, Alessandra","VALIATI, Leandro","NUNES, Roberto",,,,,,Fundação casa de Rui Barbosa/Itaú Cultural,2012
"MUGNAINI, Rogério",,,,,,,,,,Ateliê Editorial,2011
"MUGNAINI, Rogério ",,,,,,,,,,Pedro e João Editores,2013
"MUGNAINI, Rogério ","CÔRTES, Pedro Luiz",,,,,,,,,Cultura Médica,2015
"MUCHERONI, Marcos Luiz ",,,,,,,,,,Edição dos Autores,2011
"MUCHERONI, Marcos Luiz",,,,,,,,,,Thesaurus,2015
"MUCHERONI, Marcos Luiz",,,,,,,,,,Ateliê Editorial,2012
"MUCHERONI, Marcos Luiz","SILVA, José Fernando Modesto da",,,,,,,,,Editora Sociologia e Política,2011
"MOURA, Amanda Pacini de","FRANCELIN, Marivalde Moacir",,,,,,,,,ECA/USP,2015
"MARTINS, Luciana ","OLIVEIRA, Gerson de","TAVARES, A. M.","BORGES, A.","BARBARA, F.","WISNIK, G. ","NAVES, R.","AB'SABER, T.","GROSSMANN, Martin",,Cris Correa Editorial Ltda,2012
"MARQUES, Verônica Silva Rodriguez","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,,,,ECA/USP,2015
"LIMA, Vânia Mara Alves ","LARA, Marilda Lopes Ginez de",,,,,,,,,Ateliê Editorial,2011
"LARA, Marilda Lopes Ginez de ",,,,,,,,,,alameda,2012
"LARA, Marilda Lopes Ginez de","ORTEGA, Cristina Dotta",,,,,,,,,Thesaurus,2011
"GROSSMANN, Martin ",,,,,,,,,,Beco do Azougue Editorial Ltda,2014
"GROSSMANN, Martin ",,,,,,,,,,Hedra,2011
"FERNANDES, Jade Augusto Macedo Gola","OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,,,ECA/USP,2015
"STAL, Eva ","FUJINO, Asa",,,,,,,,,Springer International Publishing,2016
"FUJINO, Asa ","JACOMINI, Dulcinéia Dilva",,,,,,,,,Alfagrama,2010
"PASSARELLI, Brasilina","VETRITTI, Fabiana",,,,,,,,,Springer International Publishing,2016
"PASSARELLI, Brasilina",,,,,,,,,,Senac,2010
"PASSARELLI, Brasilina ",,,,,,,,,,NÉCTAR,2010
"PASSARELLI, Brasilina",,,,,,,,,,Senac,2010
