Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"YADO, Thaís Harumi Manfré","ROMÃO, Lucília Maria Sousa",,,,,,DCI-UFSCAR,2012
"VIDAL, André da Silva","CASTRO FILHO, Cláudio Marcondes de",,,,,,Alphabeto,2011
"TELLES, Cynara Maria Andrade","ROMÃO, Lucília Maria Sousa","GASPAR, Nádea Regina",,,,,EDUFSCar,2011
"SOUZA, Jéssica Oliveira de  ","BOTEGA, Leonardo","SANTAREM SEGUNDO, José Eduardo","BERTI, Claudia",,,,Springer International Publishing,2015
"SOUZA, Jéssica Oliveira de","BOTEGA, Leonardo","SANTAREM SEGUNDO, José Eduardo","BERTI, Claudia","CAMPOS, Márcio Roberto de","ARAÚJO, Regina Borges de",,Springer International Publishing,2015
"SOUSA, Flávio Cezar de","SILVA, Márcia Regina da","CASTRO FILHO, Cláudio Marcondes de","ROMÃO, Lucília Maria Sousa",,,,Cultura Acadêmica,2014
"SILVA, Márcia Regina da",,,,,,,Todas as musas,2013
"SILVA, Márcia Regina da","SANTOS-ROCHA, Ednéia Silva","AMORIM, Iara Rodrigues de","RODRIGUES, Vanessa",,,,Pedro e João Editores,2013
"SILVA, Márcia Regina da","SABBAG, Deise Maria Antonio",,,,,,Editora da UFPB,2015
"SILVA, Márcia Regina da","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,E-papers,2012
"SILVA, Márcia Regina da","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,E-papers,2011
"SCHERER, Amanda Eloina","MEDEIROS, Vanise Gomes de","ROMÃO, Lucília Maria Sousa","PETRI, Verli",,,,Lambert Lucas,2015
"SANTAREM SEGUNDO, José Eduardo",,,,,,,E-papers,2012
"SANTAREM SEGUNDO, José Eduardo",,,,,,,NUPILL,2014
"SANTAREM SEGUNDO, José Eduardo",,,,,,,Alínea Editora,2011
"SANTAREM SEGUNDO, José Eduardo","SILVA, Márcia Regina da","CRIPPA, Giulia",,,,,FFCLRP-USP,2014
"SANTAREM SEGUNDO, José Eduardo","POTTKER, Luciana Maria Vieira",,,,,,Cirkula,2014
"SANTAREM SEGUNDO, José Eduardo","DONADI, Rafael",,,,,,Todas as musas,2013
"SANCHES, Rodrigo Daniel","ROMÃO, Lucília Maria Sousa",,,,,,Pedro e João Editores,2014
"SABBAG, Deise Maria Antonio","SILVA, Márcia Regina da",,,,,,Todas as musas,2014
"ROMÃO, Lucília Maria Sousa",,,,,,,Pedro e João Editores,2012
"ROMÃO, Lucília Maria Sousa",,,,,,,Universidade do Porto,2015
"ROMÃO, Lucília Maria Sousa.",,,,,,,Pedro e João Editores,2012
"ROMÃO, Lucília Maria Sousa",,,,,,,Pedro e João Editores,2011
"ROMÃO, Lucília Maria Sousa",,,,,,,Editora da UFRGS,2011
"ROMÃO, Lucília Maria Sousa",,,,,,,Pontes,2015
"ROMÃO, Lucília Maria Sousa",,,,,,,7Letras,2012
"ROMÃO, Lucília Maria Sousa",,,,,,,7Letras,2012
"ROMÃO, Lucília Maria Sousa",,,,,,,Editora CBV,2011
"ROMÃO, Lucília Maria Sousa",,,,,,,E-papers,2012
"ROMÃO, Lucília Maria Sousa",,,,,,,Pedro e João Editores,2011
"ROMÃO, Lucília Maria Sousa",,,,,,,7Letras,2012
"ROMÃO, Lucília Maria Sousa",,,,,,,Mercado de Letras,2013
"ROMÃO, Lucília Maria Sousa",,,,,,,Edunioeste,2015
"ROMÃO, Lucília Maria Sousa",,,,,,,Alínea Editora,2011
"ROMÃO, Lucília Maria Sousa",,,,,,,Alínea Editora,2012
"ROMÃO, Lucília Maria Sousa",,,,,,,Pedro e João Editores,2014
"ROMÃO, Lucília Maria Sousa","SANCHES, Rodrigo Daniel",,,,,,Pedro e João Editores,2014
