Autor,Autor,Autor,Autor,Evento,Ano
"VECCHIO, Angelo del ","DIÉGUEZ, Carla Regina Mota Alonso",,,Congresso Internacional da Associação Latino-Americana de Sociologia,2011
"VALLS, Valéria Martin","SOUZA, Adriana Maria",,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"VALLS, Valéria Martin","SOUZA, Adriana Maria","SOUZA, Rosa Maria Andrade Grillo Beretta",,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"VALLS, Valéria Martin","RUEDA, Valéria Matias da Silva","FREITAS, Aline de",,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"SOUZA, Adriana Maria",,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"SOUZA, Adriana Maria ",,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2015
"SOUZA, Adriana Maria","SILVA, Andréia Gonçalves",,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2015
"SOUZA, Adriana Maria ","MATTOS, Ana Luiza",,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"SILVA, Andréia Gonçalves",,,,Seminário Nacional de Documentação e Informação Jurídicas,2012
"SILVA, Andréia Gonçalves",,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2015
"SILVA, Andréia Gonçalves","SILVA, Sadrac Leite",,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"SILVA, Andréia Gonçalves","LARA, Marilda Lopes Ginez de",,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"SAVICKAS, Rebeka Lopes","SILVA, Flávia Deus","VALLS, Valéria Martin","MARTINS, Paula Watanabe",Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"PIRES, Daniele Cristina Gonçalves Brene","SILVA, José Fernando Modesto da",,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"PIRES, Daniele Cristina Gonçalves Brene","SILVA, José Fernando Modesto da",,,International Conference on Information Systems and Technology Management (CONTECSI),2013
"PAULA, Marciléia Aparecida de","VALLS, Valéria Martin",,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"MAGNO, Maria Ignês Carlos",,,,"Conferência Internacional de Cinema, Arte, Tecnologia, Comunicação",2012
"MAGNO, Maria Ignês Carlos",,,,Congresso Internacional de Comunicação e Consumo (COMUNICON),2015
"MAGNO, Maria Ignês Carlos",,,,Congresso Internacional IBERCOM,2015
"MAGNO, Maria Ignês Carlos","GOSCIOLA, Vicente",,,"Conferência Internacional de Cinema, Arte, Tecnologia, Comunicação",2011
"FUNARO, Vânia Martins Bueno de Oliveira","VALLS, Valéria Martin",,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"FUNARO, Vânia Martins Bueno de Oliveira","SOUZA, Adriana Maria",,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"DIÉGUEZ, Carla Regina Mota Alonso",,,, Congresso Latino-Americano de Estudos do Trabalho,2013
"DIÉGUEZ, Carla Regina Mota Alonso ",,,,Congresso Brasileiro de Sociologia,2015
"DIÉGUEZ, Carla Regina Mota Alonso",,,,Encontro Anual da ANPOCS,2015
"DIÉGUEZ, Carla Regina Mota Alonso ","VECCHIO, Angelo del",,,Congresso Internacional da Associação de Estudos Brasileiros (BRASA),2012
"DIÉGUEZ, Carla Regina Mota Alonso ","SILVEIRA, Luciana","BERGAMIN, Marta de Aguiar",,Seminário Regional Nordeste da ABET,2014
"DIÉGUEZ, Carla Regina Mota Alonso ","SILVEIRA, Luciana","BERGAMIN, Marta de Aguiar",,Encontro Nacional da ABET,2015
"DIÉGUEZ, Carla Regina Mota Alonso ","ALMEIDA, Rodrigo Estramanho de",,,Congresso Brasileiro de Sociologia,2013
"CALLEGARO, Tânia",,,,InSEA EUROPEAN CONGRESS - International Society for Education Through Art (INSEA),2012
"AGUIAR, Francisco Lopes de","KOBASHI, Nair Yumiko",,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"VALLS, Valéria Martin","SOUZA, Rosa Maria Andrade Grillo Beretta","SOUZA, Adriana Maria de",,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"MAGNO, Maria Ignês Carlos","BACCEGA, Maria Aparecida","ANTONACCI, Andréa",,Congreso de la Asociación Latinoamericana de Investigadores de la Comunicación,2016
"MAGNO, Maria Ignês Carlos ",,,,Congresso Internacional de Comunicação e Consumo,2016
"FERRARAZ, Rogério ","MAGNO, Maria Ignês Carlos",,,Encontro da Compós,2010
"DIÉGUEZ, Carla Regina Mota Alonso",,,,Encontro Anual da ANPOCS,2010
"DIÉGUEZ, Carla Regina Mota Alonso",,,,Fazendo Gênero,2010
