Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"CARVALHO, Tereza Cristina Oliveira Nonatto de","ELIEL, Regiane Alcântara","SANTOS, Gildenir Carolino","FERREIRA, Danielle Thiago","SEGNORELLI, Maria Helena","EVANGELISTA-PODEROSO, Rosana","LLAGOSTERA, Ana Granzotto","AUGUSTO, Dulce Inês","D'ALOIA, Marcia Pillon","TELLES, Cleusa",Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"SOUZA, Cleonice Aparecida de",,,,,,,,,,Simpósio nacional da ANPUH,2015
"SOUZA, Cleonice Aparecida de ","GUIMARAES, Maria de Fátima",,,,,,,,,Simpósio nacional da ANPUH,2011
"SEGNORELLI, Maria Helena","CAVALHERI, Rafael Lucas","MARTINS, Valeria Dos Santos Gouveia","D'ABREU, João Vilhete",,,,,,,Simpósio dos Profissionais da UNICAMP,2014
"SANTINON, Ivenise Teresinha Gonzaga","VICENTE, Elaine Cristina Farinchön de Pádua",,,,,,,,,Congresso Internancional – SOTER,2014
"PEREIRA, Antônio Pereira ","FUJINO, Asa",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"PEREIRA, Antônio Pereira","FUJINO, Asa",,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2014
"PEREIRA, Antônio Pereira","FUJINO, Asa","SILVEIRA, Marco Antônio",,,,,,,,Congresso da Associação Latino-Iberoamericana de Gestão de Tecnologia (ALTEC),2011
"MEIRELLES, Juliana Gesuelli ",,,,,,,,,,Encontro Internacional de História Colonial,2014
"MARTINS, Valeria Dos Santos Gouveia ",,,,,,,,,,World Congress on Communication and Arts (WCCA),2014
"MARIOSA, Duarcides Ferreira  ","MENDES, Nelson de Carvalho",,,,,,,,,Congresso Internacional ABED de Educação a Distância,2013
"MARIOSA, Duarcides Ferreira","DOTA, Ednelson Mariano","SANTOS-SILVA, Edinaldo Nelsondos",,,,,,,,Encontro Nacional de Estudos Populacionais,2014
"MARIOSA, Duarcides Ferreira ","CAMILO, Maria Virginia Righetti Fernandes","SANTOS-SILVA, Edinaldo Nelsondos",,,,,,,,Encontro Nacional de Pesquisadores em Serviço Social (ENPESS),2014
