Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"ZAUITH, Gabriela","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,"Seminário Internacional de Educação ""Paulo Freire e o Ensino Superior",2013
"ALBUQUERQUE, Ana Cristina de","SIMIONATO, Ana Carolina",,,,,,,,,,,,Encontro Nacional de Estudos da Imagem e II Encontro Internacional de Estudos da Imagem,2015
"ALBUQUERQUE, Ana Cristina de ","SIMIONATO, Ana Carolina",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2014
"ALMEIDA, Luís Fernando Magnanini de","CONFORTO, Edivandro Carlos","SILVA, Sergio Luis da","AMARAL, Daniel Capaldo",,,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2012
"ALMEIDA, Luís Fernando Magnanini de ","SILVA, Sergio Luis da","AMARAL, Daniel Capaldo",,,,,,,,,,,SIMPÓSIO DE ENGENHARIA DE PRODUÇÃO,2014
"ALMEIDA, Luís Fernando Magnanini de  ","SILVA, Sergio Luis da","TOLEDO, José Carlos de","AMARAL, Daniel Capaldo","JUGEND, Daniel",,,,,,,,,Congresso da Associação Latino-Iberoamericana de Gestão de Tecnologia (ALTEC),2013
"ALVES, Rachel Cristina Vesu ","SIMIONATO, Ana Carolina","ARAKAKI, Felipe Augusto","GONÇALEZ, Paula Regina Ventura Amorim","GRISOTO, Ana Paula","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,International Conference on Dublin Core & Metadata Applications,2015
"ALVES, Rachel Cristina Vesu","SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"AMARAL, Roniberto Morato do ","BRITO, Aline Grasiele Cardoso de","CALABREZ, Ana Paula Aparecida",,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"AMARAL, Roniberto Morato do"," PUERTA, Adriana Aparecida",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
