Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"ZAGATTO, Vanessa Alves","JORENTE, Maria José Vicentini",,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2011
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encuentro Internacional e Nacional de Catalogadores,2012
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,Encuentro Internacional e Nacional de Catalogadores,2012
"VITORINI, Érica Fernanda","MOREIRA, Walter",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,Seminário Nacional do Centro de Memória,2012
"DAL´EVEDOVE, Paula Regina","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","OLIVEIRA, Henry Poncio Cruz de","LIMA, Izabel França de",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"VIANA, Gilberto Fladimar Rodrigues","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"VIANA, Gilberto Fladimar Rodrigues","MADIO, Telma Campanha de Carvalho",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,"Congresso Nacional de Bibliotecários, Arquivistas e Documentalistas",2012
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,,,Encuentro de Directores e Docentes de Escuelas de Bibliotecología y Ciencia de la Información del MERCOSUR,2012
"VALENTIM, Marta Lígia Pomim","GARCIA, Cristiane Luiza Salazar","JORGE, Carlos Francisco Bitencourt","SILVA, Elaine da da",,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
