Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"ZAMBONI, Rita Costa Veiga ","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2013
"VITORIANO, Fabiana Gulin Longhi","LIMA, Vânia Mara Alves","BARBANTI, Cristina Hilsdorf",,,,,"Encuentro Latinoamericano de Bibliotecarios, Archivistas y Museólogos",2015
"VIANA, Lilian","PIERUCCINI, Ivete",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"VIANA, Lilian","PIERUCCINI, Ivete",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"VERANO, Paulo Nascimento","OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2014
"VALENTE, Nelma Terezinha Zubek","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"TUESTA, Esteban Fernandez ","DELGADO, Karina Valdivia","DIGIAMPIETRI, Luciano Antonio","PEREZ-ALCAZAR, José de Jesús","MUGNAINI, Rogério","MENA-CHALCO, Jesus",,Brazilian Workshop on Social Network Analysis and Mining (BraSNAM),2012
"TORRENTE, Mauro ","CÔRTES, Pedro Luiz","RODRIGUES, Rosely","NEVES, Silvia Soares das",,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2012
"STAL, Eva","FUJINO, Asa",,,,,,Congresso de Gestão de Tecnologia Latino-Iberoamericano (ALTEC),2013
"STAL, Eva ","ANDREASSI, Tales","FUJINO, Asa",,,,,Simpósio de Gestão da Inovação Tecnológica,2014
"SOUZA, Cláudia Daniele de","FILIPPO, Daniela de","TUESTA, Esteban Fernandez","MUGNAINI, Rogério","SANZ-CASADO, Elias",,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2014
"SOUSA, Margarida Maria de ","FUJINO, Asa",,,,,,Encontro Ibèrico EDICIC,2013
"SOUSA, Margarida Maria de","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2014
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,Jornadas Internacionais de Histórias em Quadrinhos,2013
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2015
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,"International Technology, Education and Environment Conference (TEEC)",2012
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,Jornadas Internacionais de Histórias em Quadrinhos,2011
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,International Conference on Teaching and Learning (ICTL),2012
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,IFLA WLIC,2015
"SIQUEIRA, Ivan Claudio Pereira","SIQUEIRA, Jéssica Câmara",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2012
"SILVA, Pedro José ","PALETTA, Francisco Carlos",,,,,,Congresso Brasileiro de Educação em Engenharia (COBENGE),2011
"SILVA, Pedro José","PALETTA, Francisco Carlos",,,,,,Congresso Brasileiro de Educação em Engenharia (COBENGE),2011
"SILVA, Naiene Sanchez","OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"SILVA, José Fernando Modesto da","MUCHERONI, Marcos Luiz",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"SILVA, José Fernando Modesto da","MUCHERONI, Marcos Luiz",,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"SILVA, Andréia Gonçalves","LARA, Marilda Lopes Ginez de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"SILVA, Ana Paula ","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,Congresso ISKO Espanha/Portugal,2013
"SILVA, Adaci Aparecida Oliveira Rosa da","FUJINO, Asa",,,,,,Encontro Brasileiro de Bibliometria e Cientometria (EBBC),2014
"SERRA, Liliana Giusti","SILVA, José Fernando Modesto da",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"SERRA, Liliana Giusti ","SILVA, José Fernando Modesto da",,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"SERRA, Liliana Giusti","SILVA, José Fernando Modesto da",,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"SERRA, Liliana Giusti","SILVA, José Fernando Modesto da",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2014
"SANTOS, Marcelo dos","FUJINO, Asa",,,,,,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2012
"SANTOS, Marcelo dos ","FUJINO, Asa",,,,,,SPIE Medical Imaging,2011
"SANTOS, Marcelo dos","FUJINO, Asa",,,,,,SPIE Medical Imaging,2013
"SANTOS, Marcelo dos","FUJINO, Asa",,,,,,"International Conference on Human-Computer Interaction,",2011
"SANTOS, Edison Luís dos","PIERUCCINI, Ivete",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
