Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"VILLELA, Edlaine Faria de Moura","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,,,,,,Congresso de Ciências da Comunicação na Região Sudeste,2015
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"SILVA, Márcia Regina da",,,,,,,,,,,,,Seminário de Epistemologia e Teorias da Educação (EPISTED),2012
"SILVA, Márcia Regina da","SILVA, Jeane Santos","SANTOS-ROCHA, Ednéia Silva",,,,,,,,,,,Encontro Ibérico EDICIC,2013
"SILVA, Márcia Regina da","SANTAREM SEGUNDO, José Eduardo","SANTOS-ROCHA, Ednéia Silva",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"SILVA, Márcia Regina da","PARREIRA, Danielle Estabille","CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,Encontro Ibérico EDICIC,2013
"SILVA, Márcia Regina da","CASTRO FILHO, Cláudio Marcondes de","BALBO, Juliana Cristina",,,,,,,,,,,Encontro Ibérico EDICIC,2015
"SILVA, Márcia Regina da","MOSTAFA, Solange Puntel",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"SILVA, Lucia Aparecida da","DAMIAN, Ieda Pelogia Martins","PÁDUA, Silvia Inês Dallavalle de",,,,,,,,,,,Technology Innovation and Industrial Management,2011
"SANTOS, André Pequeno dos","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Congresso ISKO Espanha/Portugal,2013
"SANTOS, André Pequeno dos","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Ibérico EDICIC,2013
"SANTOS, André Pequeno dos","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"SANTAREM SEGUNDO, José Eduardo","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Conferência Ibero-Americana IADIS,2011
"SANTAREM SEGUNDO, José Eduardo","SILVA, Márcia Regina da","SANTOS-ROCHA, Ednéia Silva",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"SANTAREM SEGUNDO, José Eduardo","SANTOS,Tuane Faria",,,,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2013
"SANTAREM SEGUNDO, José Eduardo","MILAGRE, José Antônio",,,,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2014
"SANTAREM SEGUNDO, José Eduardo","CONEGLIAN, Caio Saraiva",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"SAITO, Érica","ESTORNIOLO FILHO, Jóse","REIS, Manuela Gea Cabrera","SANTOS, Paola de Marco Lopes dos","PASCHOALINO, Rosana Alvarez","LOMBARDI, Valeria de Vilhena","SAHEKI, Yuka","FERREIRA, Sueli Mara Soares Pinto",,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"RODRIGUES, Bruno Cesar","CRIPPA, Giulia",,,,,,,,,,,,Seminario de investigación en museología de los países de lengua portuguesa y española,2011
"RODRIGUES, Bruno Cesar","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"POTTKER, Luciana Maria Vieira","FERNEDA, Edberto","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2014
"PINHEIRO, Cíntia Braga Ferreira","OLIVEIRA, Sumeire Tamiko Takahashi de","CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"NOGUEIRA, João Robson Fernandes","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"NOGUEIRA, João Robson Fernandes","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Ibérico EDICIC,2013
"NAKAMURA, Mariany Toriyama","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"MOSTAFA, Solange Puntel",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"MOSTAFA, Solange Puntel","NOVA CRUZ, Denise Viuniski da",,,,,,,,,,,,Colóquio Habermas e Colóquio de Filosofia da Informação,2015
"MOSTAFA, Solange Puntel","SILVA, Márcia Regina da","CASTRO FILHO, Cláudio Marcondes de","FARIA, Ana Carolina Cintra",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
