"Substituido","Mantido"
"SANTOS-SILVA, Nelson dos","SANTOS-SILVA, Edinaldo Nelson dos"
"FIDELIS, Ana Claudia Silva","FIDELIS, Ana Cláudia e Silva"
"OGATA, Márcia Niituma Niituma","OGATA, Márcia Niituma"
"SIMOES, Maria da Graça Melo","SIMÕES, Maria Graça de Melo"
"SANTAREM, Vinicius","SANTARÉM, Vinícius"
"uninove – CAPES", "Uninove - CAPES"
"Interciencia","Interciência"
"Sociologia e Política","Editora Sociologia e Política"
"CONFORTO, Edivandro Carlos Carlos","CONFORTO, Edivandro Carlos"
"Informação & Tecnologia","Informação & Tecnologia (Itec)"
"Informação & teconologia","Informação & Tecnologia (Itec)"
"Revista Brasileira de Biblioteconomia e Documentação","RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)"
"ASSUMPCAO, Fabrício Silva","ASSUMPÇÃO, Fabrício Silva"
"Scientometrics (Print)","Scientometrics (Online)"
"LIMA, Lidyane","LIMA, Lidyane Silva"
"Perspectivas em Ciência da Informação (Online)","Perspectivas em Ciência da Informação"
"Perspectivas em Ciência da Informação (Impresso)","Perspectivas em Ciência da Informação"
"Ciência da Informação (Impresso)","Ciência da Informação (Online)"
"DIAS, Antonio Jose Guerner","DIAS, António José Guerner"
"DIAS, António Guerner","DIAS, António José Guerner"
"Informação & Sociedade (UFPB. Online)","Informação & Sociedade (UFPB)"
"Informação & sociedade (UFPB. Online)","Informação & Sociedade (UFPB)"
"Informação & Informação (UEL. Online)","Informação & Informação (UEL)"
"CRUZ, Denise Viuniski da Nova","NOVA CRUZ, Denise Viuniski da"
"BOTEGA, Leonardo","BOTEGA, Leonardo Castro"
"SALUM, Fabian","SALUM, Fabian Ariel"
"CASTRO, Tainara Kiri de","CASTRO, Tainara Toriká Kiri de"
"FREITAS, José Eduardo de","OLIVEIRA, José Eduardo de"
"KOBAYASHI, Elizabete","KOBAYASHI, Elizabete Mayumy"
"OTSUDA, Joice","OTSUDA, Joice Lee"
"CONCEIÇÃO JÚNIOR, Joel","CONCEIÇÃO JUNIOR, Joel da"
"ALMEIDA, Maria Amelia","ALMEIDA, Maria Amélia de"
"SILVA, Marli Vitor","SILVA, Marli Vítor da"
"ROCHA, Joeli Espirito Santo","ROCHA, Joeli Espírito Santo da"
"FUJITA, MarIângela Spotti","FUJITA, Mariângela Spotti Lopes"
"FUJITA, Mariângela Spotti","FUJITA, Mariângela Spotti Lopes"
"THALLER, Manfred","THALLER, Phil Manfred"
"SANTOS, Edison Luis","SANTOS, Edison Luís dos"
"ROSA, José Balbino","ROSA, José Carlos Balbino"
"LOMBARDI, Valeria de Vilhena","LOMBARDI, Valéria Vilhena"
"CAPOBIANCO, Ligia","CAPOBIANCO, Lígia"
"SALDANHA, Gustavo","SALDANHA, Gustavo Silva"
"MARTINEZ, Sandra Milena Roa","ROA-MARTINEZ, Sandra Milena"
"SOUZA, Jessica Oliveira","SOUZA, Jéssica Oliveira de"
"SILVA, Gabriela S.","SILVA, Gabriela Scardine"
"ANDRADE, Thalles Novaes de","ANDRADE, Thales Haddad Novaes de"
"Congresso Internacional de Comunicação e Consumo","Congresso Internacional de Comunicação e Consumo (COMUNICON)"
"Encuentro de Directores e Docentes de Escuelas de Bibliotecología y Ciencia de la Información del MERCOSUR","Encuentro de Directores y Docentes de Escuelas de Bibliotecología y Ciencia de la Informacion del Mercosur (EBCIM)"
"Seminário Científico Arquivologia e Biblioteconomia: acesso à informação","Seminário Científico Arquivologia e Biblioteconomia"
