Docente,Inst,PosLS,PosSS
Cristina Aparecida Lino de Paiva,FATEA,-,-
Daniela Kanno Vieira,FATEA,-,-
João Francisco Pereira Nunes Junqueira,FATEA,-,-
Marlene Silva Sardinha Gurpilhares,FATEA,Lingua Portuguesa Gramática e Uso,Lingüística Aplicada
Paulo Sérgio de Sena,FATEA,Saúde Coletiva Tecnologia da Informação; Gestão Avançada em RH; Educação Ambiental e Sustentabilidade; Análises Clínicas; Biologia da Conservação,Design: tecnologia e inovação
Pedro de Almeida Cunha,FATEA,-,-
Rosana do Carmo Montemór,FATEA,-,-
Sônia Maria Gonçalves Siqueira,FATEA,-,-
Adriana Maria de Souza,FESPSP,Gestão de Serviços de Informação,-
Andréia Gonçalves Silva,FESPSP,-,-
Carla Regina Mota Alonso Diégues,FESPSP,-,-
Concília Teodósio,FESPSP,-,-
Daniele Cristina Gonçalves Brene,FESPSP,-,-
Evanda Verri Paulino,FESPSP,-,-
Fernanda Kelly Silva de Brito,FESPSP,Gestão Arquivística,-
Francisco Lopes de Aguiar,FESPSP,-,-
Henrique Mariano Coimbra Ferreira,FESPSP,-,-
Ivan Russeff,FESPSP,-,-
José Mário de Oliveira Mendes,FESPSP,-,-
Maria das Mercês Pereira Apóstolo,FESPSP,-,-
Maria Ignês Carlos Magno,FESPSP,-,Programa de Pós-graduação em Comunicação – Universidade Anhembi Morumbi
Maria Rosa Crespo,FESPSP,-,-
Paulo Niccoli Ramirez,FESPSP,-,-
Rachel Ferreira Bueno,FESPSP,-,-
Tânia Callegaro,FESPSP,Mídias na Educação – NCE/USP-UFPE,-
Valéria Martin Valls,FESPSP,Gestão de Serviços de Informação; Gestão Arquivística; Gestão da Informação Digital; Gestão Empresarial e Coaching,-
Ana Claudia e Silva Fidelis,PUCCAMP,-,-
Cesar Antônio Pereira,PUCCAMP,-,-
Cleonice Aparecida de Souza,PUCCAMP,-,-
Duarcides Ferreira Mariosa,PUCCAMP,-,-
Ivenise Teresinha Gonzaga Santinon,PUCCAMP,-,-
Juliana Gesuelli Meirelles,PUCCAMP,-,-
Lucia Maria Quintes Ducasble Gomes,PUCCAMP,-,-
Marcio Souza Martins,PUCCAMP,-,-
Oscar Eliel,PUCCAMP,-,-
Regiane Alcântara Eliel,PUCCAMP,-,-
Valeria Dos Santos Gouveia Martins,PUCCAMP,-,-
Ana Carolina Simionato,UFSCAR,-,-
Ariadne Chloë Mary Furnival,UFSCAR,-,"Ciência, Tecnologia e Sociedade"
Camila Carneiro Dias Rigolin,UFSCAR,-,"Ciência, Tecnologia e Sociedade; Gestão de Organizações e Sistemas Públicos"
Carlos Roberto Massao Hayashi,UFSCAR,-,"Educação; Educação especial; Ciência, Tecnologia e Sociedade"
Fabiano Ferreira de Castro,UFSCAR,-,-
Leandro Innocentini Lopes de Faria,UFSCAR,-,"Ciência, Tecnologia e Sociedade"
Luciana de Souza Gracioso,UFSCAR,-,"Ciência, Tecnologia e Sociedade"
Luzia Sigoli Fernandes Costa,UFSCAR,-,"Ciência, Tecnologia e Sociedade"
Maria Cristina Comunian Ferraz,UFSCAR,-,"Ciência, Tecnologia e Sociedade; Gestão de Organizações e Sistemas Públicos"
Maria Cristina Piumbato Innocentini Hayashi,UFSCAR,-,"Ciência, Tecnologia e Sociedade; Educação; Educação especial"
Paula Regina Dal’Evedove,UFSCAR,-,-
Rogério Aparecido Sá Ramalho,UFSCAR,-,-
