idEvento,nome,tipo,area,classificacao
203,ASIS&T Annual Meeting,A,CI,Internacional
206,Brazilian Workshop on Social Network Analysis and Mining (BraSNAM),A,CI,Internacional
91,Clute Institute International Conference,A,Educação,Internacional
128,Colóquio de Epistemologia da Educação Física,A,Educação,Nacional
182,"Colóquio em Organização, Acesso e Apropriação da Informação e do Conhecimento (COAIC)",A,CI,Nacional
255,Colóquio Habermas e Colóquio de Filosofia da Informação,A,CI,Nacional
199,Colóquio Internacional da rede MUSSI,A,CI,Internacional
240,Conferência de Gestão e Contabilidade Ambiental (GECAMB),A,Gestão Ambiental,Nacional
253,Conferência Ibero-Americana IADIS,A,Interdisciplinar,Internacional
164,Conferência Internacional EUTIC,A,CI,Internacional
62,"Conferência sobre Tecnologia, Cultura e Memória",A,CI,Nacional
169,Congreso Capítulo Español de ISKO,A,CI,Internacional
196,"Congreso Ciencias, tecnologías y humanidades",A,Interdisciplinar,Internacional
77,Congreso Iberoamericano de Extensión Universitaria,A,Genérico,Internacional
173,Congreso Internacional Multidisciplinario en Alfabetización Informativa,A,CI,Internacional
170,"Congreso Internacional Unión Latina de la Economía Política de la Información, la Comunicación y la Cultura (ULEPICC)",A,CI,Internacional
168,Congreso Latinoamericano de Extensión Universitária,A,Genérico,Internacional
264,Congreso Uruguayo de Sociología,A,Sociologia,Internacional
233,Congresso ANPCONT,A,Ciências contabeis,Nacional
231,Congresso Brasileiro de Ciências da Comunicação,A,Comunicação,Nacional
211,Congresso Brasileiro de Educação em Engenharia (COBENGE),A,Engenharia,Nacional
60,Congresso Brasileiro de Educação Especial (CBEE),A,Engenharia,Nacional
103,Congresso Brasileiro de Ensino Superior a distância,A,Educação,Nacional
228,Congresso Brasileiro de Organização e Representação do Conhecimento,A,CI,Nacional
7,Congresso Brasileiro de P&D em Design,A,Design,Nacional
251,Congresso de Ciências da Comunicação na Região Sudeste,A,Comunicação,Nacional
148,Congresso de Extensão Universitária da UNESP,A,Genérico,Nacional
65,Congresso de Pesquisa e Ensino em Transportes (ANPET),A,Engenharia,Nacional
216,Congresso Ibero-americano de Comunicação (IBERCOM),A,Comunicação,Internacional
39,Congresso Internacional ABED de Educação a Distância,A,Educação,Internacional
25,Congresso Internacional da Associação de Estudos Brasileiros (BRASA),A,Estudos Brasileiros,Internacional
13,Congresso Internacional da Associação Latino-Americana de Sociologia,A,Sociologia,Internacional
20,Congresso Internacional de Comunicação e Consumo (COMUNICON),A,Comunicação,Internacional
153,Congresso Internacional de Design da Informação (CIDI),A,Design,Internacional
195,Congresso Internacional de Educação de Ponta Grossa,A,Educação,Nacional
21,Congresso Internacional IBERCOM,A,Comunicação,Internacional
154,Congresso Internacional TIC e Educação (ticEDUCA),A,Educação,Internacional
138,Congresso ISKO Espanha/Portugal,A,CI,Internacional
22,Congresso Latino-Americano de Estudos do Trabalho,A,Ciências sociais,Internacional
67,Congresso Latinoamericano de Filosofia da Educação,A,Educação,Internacional
262,Congresso Luso Afro Brasileiro,A,Ciências sociais,Internacional
43,Congresso Luso-Brasileiro de História da Educação (Colubhe),A,Educação,Internacional
225,Congresso Mundial de Comunicação Ibero-Americana,A,Comunicação,Internacional
42,Congresso Nacional de Educação (EDUCERE),A,Educação,Nacional
11,Congresso Nacional de Iniciação Científica - Conic-Semesp,A,Genérico,Nacional
3,Congresso Nacional de Meio Ambiente de Poços de Caldas,A,Meio Ambiente,Nacional
110,Disaster Management and Human Health Risk,A,Saúde,Internacional
24,Encontro Anual da ANPOCS,A,Ciências sociais,Nacional
35,Encontro Brasileiro de Bibliometria e Cientometria,A,CI,Nacional
183,Encontro da ANPAD,A,Administração,Nacional
85,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),A,CI,Internacional
30,Encontro da Compós,A,Genérico,Nacional
265,Encontro de Diretores e  Encontro de Docentes de Escolas de Biblioteconomia e Ciência da Informação do MERCOSUL,A,CI,Internacional
256,Encontro de Estudos da Linguagem  (ENELIN),A,Linguística,Nacional
227,"Encontro de Estudos sobre Tecnologia, Ciência e Gestão da Informação (ENEGI)",A,CI,Nacional
145,Encontro de Pesquisa em Informação e Mediação,A,CI,Nacional
137,Encontro Ibérico EDICIC,A,CI,Internacional
88,Encontro Iberoamericano de Educação,A,Educação,Internacional
108,"Encontro Internacional Dados, Tecnologia e Informação",A,CI,Internacional
78,Encontro Internacional de Ciências Socias,A,Ciências sociais,Internacional
37,Encontro Internacional de História Colonial,A,História,Internacional
139,"Encontro Internacional de Informação, Conhecimento e Ação",A,CI,Internacional
8,Encontro Latino Americano de Iniciação Científica UNIVAP,A,Genérico,Internacional
27,Encontro Nacional da ABET,A,Ciências sociais,Nacional
9,Encontro Nacional das Licenciaturas (ENALIC),A,Genérico,Nacional
51,Encontro Nacional de Estudos da Imagem e II Encontro Internacional de Estudos da Imagem,A,Comunicação,Nacional
40,Encontro Nacional de Estudos Populacionais,A,Ciências sociais,Nacional
172,Encontro Nacional de História da Mídia,A,Comunicação,Nacional
167,Encontro Nacional de Pesquisa e Tecnologia,A,Engenharia,Nacional
15,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),A,CI,Nacional
41,Encontro Nacional de Pesquisadores em Serviço Social (ENPESS),A,Serviço Social,Nacional
258,Encontro virtual de Documentação em Software Livre e Congresso Internacional de Linguagem e Tecnologia online,A,Interdisciplinar,Nacional
117,Encuentro de Directores y Docentes de Escuelas de Bibliotecología y Ciencia de la Informacion del Mercosur (EBCIM),A,CI,Internacional
259,Encuentros Internacionales sobre Sistemas de Información y Documentación (IBERSID),A,CI,Internacional
