idEvento,nome,tipo,area,classificacao
246,AIEA Annual Conference,A/P,Administração,Internacional
215,Annual Conference International Council for Education Media,P,Educação,Internacional
146,Annual Conference on Distance Teaching & Learning,P,Educação,Internacional
209,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),A/P,Saúde,Internacional
115,ANPED-Sul,A/P,Educação,Nacional
197,ASIS&T Annual Meeting,A,CI,Internacional
43,Biennial at ISATT Conference,A/P,Educação,Internacional
201,Brazilian Workshop on Social Network Analysis and Mining (BraSNAM),A,CI,Internacional
79,Clute Institute International Conference,A,Educação,Internacional
116,Colóquio de Epistemologia da Educação Física,A,Educação,Nacional
174,"Colóquio em Organização, Acesso e Apropriação da Informação e do Conhecimento (COAIC)",A,CI,Nacional
256,Colóquio Habermas e Colóquio de Filosofia da Informação,A,CI,Nacional
235,"Colóquio Internacional ""A medicina na era da informação"" (MEDINFOR)",A/P,CI,Internacional
193,Colóquio Internacional da Rede Mussi,A,CI,Internacional
263,Colóquio Internacional da rede MUSSI,A,CI,Internacional
250,Conference on Environmental Management and Accounting,A/P,Gestão Ambiental,Internacional
240,Conferência de Gestão e Contabilidade Ambiental (GECAMB),A,Gestão Ambiental,Nacional
42,Conferência do Desenvolvimento (CODE),P,Interdisciplinar,Nacional
254,Conferência Ibero-Americana IADIS,A,Interdisciplinar,Internacional
66,CONFERENCIA INTERNACIONAL BIREDIAL-ISTEC,A/P,Interdisciplinar,Internacional
145,Conferencia Internacional de Bibliotecología,P,CI,Internacional
19,"Conferência Internacional de Cinema, Arte, Tecnologia, Comunicação",P,Cinema,Internacional
155,Conferência Internacional EUTIC,A,CI,Internacional
258,Conferência Luso-Brasileira sobre Acesso Aberto (Confoa),A/P,CI,Internacional
140,"Conferência sobre Tecnologia, Cultura e Memória",A,CI,Nacional
47,"Conferência sobre tecnologia, cultura e memória: estratégias para preservação e acesso à informação",A,CI,Nacional
161,Congreso Capítulo Español de ISKO,A,CI,Internacional
189,"Congreso Ciencias, tecnologías y humanidades",A,Interdisciplinar,Internacional
186,Congreso de Bibliotecas Universitarias (CIBU),P,CI,Internacional
29,Congreso de la Asociación Latinoamericana de Investigadores de la Comunicación,A/P,Comunicação,Internacional
63,Congreso Iberoamericano de Extensión Universitaria,A,Genérico,Internacional
273,Congreso Internacional de Bibliotecas Universitarias,P,CI,Internacional
194,Congreso Internacional de Documentación Fotográfica,A/P,CI,Internacional
137,Congreso Internacional de Información (IDICT),P,CI,Internacional
121,CONGRESO INTERNACIONAL DE REHABILITACIÓN DEL PATRIMONIO ARQUITECTÓNIO Y EDIFICACIÓN,A/P,Patrimônio,Internacional
165,Congreso Internacional Multidisciplinario en Alfabetización Informativa,A,CI,Internacional
162,"Congreso Internacional Unión Latina de la Economía Política de la Información, la Comunicación y la Cultura (ULEPICC)",A,CI,Internacional
78,Congreso Latino-Iberoamericano de géstion tecnologica - ALTEC,A/P,Interdisciplinar,Internacional
160,Congreso Latinoamericano de Extensión Universitária,A,Genérico,Internacional
173,Congreso Uruguayo de Bibliotecología e Información/Congreso Regional de Bibliotecología e Información (CUBI-II/CORBI)/ Jornada de Bibliotecas Virtuales en Salud (JBVS-II),A/P,CI,Internacional
267,Congreso Uruguayo de Sociología,A,Sociologia,Internacional
169,Congreso WAPOR Latinoamérica - Organización Mundial de la Opinión Pública,P,Opinião pública,Internacional
233,Congresso ANPCONT,A,Ciências contabeis,Nacional
87,"Congresso Anual da Associação Brasileira de Metalurgia, Materiais e Mineração",P,Engenharia,Nacional
138,Congresso Brasileiro de Arquivologia,P,CI,Nacional
151,Congresso Brasileiro de Biblioteconomia e Documentação,P,CI,Nacional
16,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",P,CI,Nacional
231,Congresso Brasileiro de Ciências da Comunicação,A,Comunicação,Nacional
208,Congresso Brasileiro de Educação em Engenharia (COBENGE),A,Engenharia,Nacional
45,Congresso Brasileiro de Educação Especial (CBEE),A,Engenharia,Nacional
101,Congresso Brasileiro de Engenharia e Ciência dos Materiais,A/P,Engenharia,Nacional
