idPeriodico,nome,avaliacao,webqualis,classificacao
45,Biblios (Lima),Comunicação e Informação,A1,Internacional
102,Concurrent Engineering: Research and Applications,Administração publica,A1,Internacional
187,El Profesional de la Información,Comunicação e Informação,A1,Internacional
129,Information Research,Comunicação e Informação,A1,Internacional
137,International Journal of Hydrogen Energy,Interdisciplinar,A1,Internacional
144,International Journal of Project Management,Administração publica,A1,Internacional
56,"International Journal, Advanced Manufacturing Technology",Administração publica,A1,Internacional
227,Investigación Bibliotecológica,Comunicação e Informação,A1,Internacional
196,Journal of Documentation,Comunicação e Informação,A1,Internacional
213,Journal of The American Society For Information Science and Technology (Online),Comunicação e Informação,A1,Internacional
164,Knowledge Organization,Comunicação e Informação,A1,Internacional
215,Proceedings of the Association for Information Science and Technology,Administração publica,A1,Internacional
195,Revista Española de Documentación Científica,Comunicação e Informação,A1,Internacional
188,Scientometrics (Online),Comunicação e Informação,A1,Internacional
61,Scientometrics (Print),Comunicação e Informação,A1,Internacional
334,Informação & Sociedade (UFPB),Comunicação e Informação,A1,Nacional
244,Pandaemonium Germanicum (Online),Letras e Linguística ,A1,Nacional
151,Perspectivas em Ciência da Informação (Online),Comunicação e Informação,A1,Nacional
156,Revista Brasileira de Educação,Ensino,A1,Nacional
44,Tempo. Revista do Departamento de História da UFF,Ensino,A1,Nacional
114,Transinformação,Comunicação e Informação,A1,Nacional
71,Informação & Sociedade (UFPB. Online),Comunicação e Informação,A1,Nacional
239,Perspectivas em Ciência da Informação,Comunicação e Informação,A1,Nacional
58,Perspectivas em Ciência da Informação (Impresso),Comunicação e Informação,A1,Nacional
394,C&RL News,Comunicação e Informação,A2,Internacional
194,Cataloging & Classification Quarterly,Comunicação e Informação,A2,Internacional
223,Information Development,Administração publica,A2,Internacional
99,Innovation (North Sydney),Administração publica,A2,Internacional
101,International Journal of Business Innovation and Research (Print),Administração publica,A2,Internacional
145,Journal of Business Research,Interdisciplinar,A2,Internacional
76,Project Management Journal,Engenharia III,A2,Internacional
218,Revista General de Información y Documentación,Comunicação e Informação,A2,Internacional
84,Revista Interamericana de Bibliotecologia,Comunicação e Informação,A2,Internacional
284,Social Responsibility Journal,Administração publica,A2,Internacional
336,Calisocópio,Letras e Linguística ,A2,Nacional
383,E-Compós (Brasília),Comunicação e Informação,A2,Nacional
38,Em Questão,Comunicação e Informação,A2,Nacional
72,Encontros Bibli,Comunicação e Informação,A2,Nacional
282,Estudos Avançados (Online),Administração publica,A2,Nacional
380,Galáxia (PUCSP),Comunicação e Informação,A2,Nacional
337,Informação & Informação (UEL),Comunicação e Informação,A2,Nacional
261,Matrizes (USP. Impresso),Comunicação e Informação,A2,Nacional
302,Psicologia USP (Impresso),Interdisciplinar,A2,Nacional
150,Revista Brasileira de Gestão de Negócios (Online),Comunicação e Informação,A2,Nacional
113,Revista Educação Especial (Online),Ensino,A2,Nacional
77,Revista Educação Especial (UFSM),Ensino,A2,Nacional
69,Revista Eletrônica de Educação (São Carlos),Ensino,A2,Nacional
191,Revista FAMECOS (Online),Comunicação e Informação,A2,Nacional
65,Em Questão (UFRGS. Impresso),Comunicação e Informação,A2,Nacional
14,Informação & Informação (UEL. Online),Comunicação e Informação,A2,Nacional
201,"African Journal of Library, Archives and Information Science",Ensino,B1,Internacional
317,Alexandria (Peru),Comunicação e Informação,B1,Internacional
107,Anales de Documentación (Internet),Comunicação e Informação,B1,Internacional
300,Art Documentation,Comunicação e Informação,B1,Internacional
183,Ibersid (Zaragoza),Comunicação e Informação,B1,Internacional
141,Interciencia (Caracas),Interdisciplinar,B1,Internacional
241,Plos One,Comunicação e Informação,B1,Internacional
143,Production,Interdisciplinar,B1,Internacional
25,Razón y Palabra,Comunicação e Informação,B1,Internacional
165,Scire (Zaragoza),Comunicação e Informação,B1,Internacional
122,Universitas Humanistica,Interdisciplinar,B1,Internacional
138,Scire,Comunicação e Informação,B1,Internacional
78,Scire: representación y organización del conocimiento,Comunicação e Informação,B1,Internacional
327,Acta Scientiarum. Language and Culture (Impresso),Interdisciplinar,B1,Nacional
369,Agora (Florianopolis),Comunicação e Informação,B1,Nacional
173,Alceu (PUCRJ),Comunicação e Informação,B1,Nacional
297,Ambiente & Sociedade (Online),Comunicação e Informação,B1,Nacional
306,Animus (Santa Maria. Online),Comunicação e Informação,B1,Nacional
68,Avaliação (UNICAMP),Comunicação e Informação,B1,Nacional
208,BAR. Brazilian Administration Review,Interdisciplinar,B1,Nacional
139,Brazilian Journal of Information Science,Comunicação e Informação,B1,Nacional
312,Ciberlegenda (UFF. Online),Comunicação e Informação,B1,Nacional
59,Ciência da Informação (Online),Comunicação e Informação,B1,Nacional
51,Ciência e Saúde Coletiva (Impresso),Interdisciplinar,B1,Nacional
46,Colabor@ (Curitiba),Ensino,B1,Nacional
372,Conexão: Comunicação e Cultura,Comunicação e Informação,B1,Nacional
328,Contracampo (UFF),Comunicação e Informação,B1,Nacional
389,Desenredo (PPGL/UPF),Interdisciplinar,B1,Nacional
305,Dialogos (Maringa),Comunicação e Informação,B1,Nacional
6,"ECCOM - Educação, Cultura e Comunicação",Comunicação e Informação,B1,Nacional
313,Estudos Linguísticos,Letras e Linguística ,B1,Nacional
133,História & Perspectivas (Online),História,B1,Nacional
308,In Texto (UFRGS. Online),Comunicação e Informação,B1,Nacional
60,InCID: Revista de Ciência da Informação e Documentação,Comunicação e Informação,B1,Nacional
344,Intersecções,Interdisciplinar,B1,Nacional
63,Liinc em Revista,Comunicação e Informação,B1,Nacional
341,Linguagem em (Dis)curso (Impresso),Interdisciplinar,B1,Nacional
378,Línguas & Letras (UNIOESTE),Ensino,B1,Nacional
332,Linguasagem (São Paulo),Interdisciplinar,B1,Nacional
277,Logos (UERJ. Impresso),Comunicação e Informação,B1,Nacional
35,Lumina (UFJF. Online),Comunicação e Informação,B1,Nacional
329,Museologia e Patrimônio,Comunicação e Informação,B1,Nacional
395,Observatorio (OBS*),Comunicação e Informação,B1,Nacional
20,Perspectivas em Gestao & Conhecimiento,Comunicação e Informação,B1,Nacional
229,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,Comunicação e Informação,B1,Nacional
128,Polímeros (São Carlos. Online),Interdisciplinar,B1,Nacional
170,Ponto de Acesso (UFBA),Comunicação e Informação,B1,Nacional
73,Práxis Educacional (Online),Ensino,B1,Nacional
146,Produção (São Paulo. On-Line),Interdisciplinar,B1,Nacional
335,Psicologia em Revista (Impressa),Psicologia,B1,Nacional
135,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),Comunicação e Informação,B1,Nacional
121,"RECIIS. Revista Eletrônica de Comunicação, Informação & Inovação em Saúde",Comunicação e Informação,B1,Nacional
155,Revista Brasileira de Educação do Campo,Ensino,B1,Nacional
