nome,avaliacao,webqualis,classificacao
 Ponto-e-vírgula (PUCSP),Comunicação e Informação,B5,Nacional
A trabe de Ouro,,,Nacional
Acervo,Comunicação e Informação,B2,Nacional
Achegas.net,Sociologia,B5,Nacional
Acta Scientiarum. Language and Culture (Impresso),Interdisciplinar,B1,Nacional
Advances in Intelligent Systems and Computing,Administração publica,B2,Internacional
African Journal of Business Management,Comunicação e Informação,C,Internacional
"African Journal of Library, Archives and Information Science",Ensino,B1,Internacional
Agora (Florianopolis),Comunicação e Informação,B1,Nacional
AIDAinformazioni: revista semestrale di sicenza della´informazione,Comunicação e Informação,B3,Internacional
Alceu (PUCRJ),Comunicação e Informação,B1,Nacional
Alexandria (Peru),Comunicação e Informação,B1,Internacional
ALISS Quarterly,,,Internacional
Ambiente & Sociedade (Online),Comunicação e Informação,B1,Nacional
Âmbito Jurídico,Ensino,C,Nacional
American International Journal of Contemporary Research (Print),Comunicação e Informação,C,Internacional
Anales de Documentación (Internet),Comunicação e Informação,B1,Internacional
Ângulo (FATEA. Impresso),Interdisciplinar,B2,Nacional
Animus (Santa Maria. Online),Comunicação e Informação,B1,Nacional
Annals of Library and Information Studies,Comunicação e Informação,B2,Internacional
Antropos (Manaus),Sociologia,B5,Nacional
Archeidon Online,Comunicação e Informação,C,Nacional
Área Abierta,Comunicação e Informação,B3,Internacional
Arquivos do CMD,Comunicação e Informação,B3,Nacional
Art Documentation,Comunicação e Informação,B1,Internacional
AtoZ: novas práticas em informação e conhecimento,Comunicação e Informação,B5,Nacional
Aurora (PUCSP. Online),Comunicação e Informação,B4,Nacional
Aurora (UNESP. Marília),Comunicação e Informação,B5,Nacional
Avaliação (UNICAMP),Comunicação e Informação,B1,Nacional
BAR. Brazilian Administration Review,Interdisciplinar,B1,Nacional
Biblionline (João Pessoa),Comunicação e Informação,B5,Nacional
Biblios (Lima),Comunicação e Informação,A1,Internacional
Biblioteca Escolar em Revista,Comunicação e Informação,B3,Nacional
"Bibliotecas Universitárias: pesquisas, experiências e perspectivas",História,C,Nacional
Biblos (Rio Grande),Comunicação e Informação,B3,Nacional
Boletim de Pesquisa e Desenvolvimento (Embrapa Solos. Online),Geografia,B5,Nacional
Boletín electrónico ABGRA,,,Internacional
Brazilian Journal of Information Science,Comunicação e Informação,B1,Nacional
Brazilian Journal of Science and Technology,Administração publica,B2,Internacional
Business Management Review (BMR),Comunicação e Informação,B3,Internacional
Business Process Management Journal,Interdisciplinar,B2,Internacional
C&RL News,Comunicação e Informação,A2,Internacional
Cadernos ADENAUER (São Paulo),Comunicação e Informação,B5,Nacional
Cadernos de Ciência & Tecnologia,Interdisciplinar,B3,Nacional
Cadernos de Educação (UMESP),Ensino,B3,Nacional
"Cadernos de Educação, Tecnologia e Sociedade",Comunicação e Informação,B4,Nacional
Cadernos de Estudos Linguísticos (UNICAMP),Comunicação e Informação,B3,Nacional
Cadernos de Informação Juridica,Comunicação e Informação,B5,Nacional
Cadernos de Linguagem e Sociedade,Interdisciplinar,B2,Nacional
Cadernos de Pesquisa Interdisciplinar em Ciências Humanas (Online),Comunicação e Informação,B3,Nacional
Calisocópio,Letras e Linguística ,A2,Nacional
Cataloging & Classification Quarterly,Comunicação e Informação,A2,Internacional
Ciberlegenda (UFF. Online),Comunicação e Informação,B1,Nacional
Ciência da Informação (Online),Comunicação e Informação,B1,Nacional
Ciência da Informação em Revista,Comunicação e Informação,B5,Nacional
Ciência e Saúde Coletiva (Impresso),Interdisciplinar,B1,Nacional
Colabor@ (Curitiba),Ensino,B1,Nacional
Coletâneas do Nosso Tempo,,,Nacional
Competitive Intelligence Magazine,,,Internacional
Comunicacao e Educacao (USP),Comunicação e Informação,B2,Nacional
"Comunicación - Revista Internacional de Comunicación Audiovisual, Publicidad y Literatura",Comunicação e Informação,B3,Internacional
Comunicações Geológicas,Geografia,B4,Nacional
Comunicologia (Brasília),Comunicação e Informação,B3,Nacional
Concinnitas (Online),Comunicação e Informação,B2,Nacional
Concurrent Engineering: Research and Applications,Administração publica,A1,Internacional
Conexão Letras,Comunicação e Informação,B2,Nacional
Conexão: Comunicação e Cultura,Comunicação e Informação,B1,Nacional
Contextus (Fortaleza),Administração publica,B2,Nacional
Contracampo (UFF),Comunicação e Informação,B1,Nacional
Cosmopolis,,,Nacional
Crítica bibliotecológica: Revista de las ciencias de la información documental,,,Internacional
Datagramazero (Rio de Janeiro),Comunicação e Informação,B3,Nacional
Desenredo (PPGL/UPF),Interdisciplinar,B1,Nacional
Desenvolvimento e Meio Ambiente (UFPR),Comunicação e Informação,B4,Nacional
DI Factum,,,Nacional
Dialogos (Maringa),Comunicação e Informação,B1,Nacional
Diálogos & Ciência (Online),Interdisciplinar,B3,Nacional
Diálogos Pertinentes: Revista Científica de Letras,Interdisciplinar,C,Nacional
Discursos Fotográficos (Online),Comunicação e Informação,B2,Nacional
Distúrbios da Comunicação,Ensino,B3,Nacional
Do Outro Lado da Informação,,,Nacional
DYNA (Medellín),Administração publica,B2,Internacional
E-Compós (Brasília),Comunicação e Informação,A2,Nacional
"ECCOM - Educação, Cultura e Comunicação",Comunicação e Informação,B1,Nacional
El Profesional de la Información,Comunicação e Informação,A1,Internacional
Em Questão,Comunicação e Informação,A2,Nacional
Emancipação (UEPG. Impresso),Interdisciplinar,B3,Nacional
Emerald Studies in Media and Communication,Interdisciplinar,B5,Internacional
Encontros Bibli,Comunicação e Informação,A2,Nacional
Engenharia (São Paulo),Planejamento urbano,B5,Nacional
Ensino em Re-Vista (Online),Comunicação e Informação,B5,Nacional
Entremeios,Comunicação e Informação,B5,Nacional
"Errâncias de um imaginário: entre Brasil, Cabo Verde e Portugal",,,Internacional
Espacios (Caracas),Comunicação e Informação,B2,Internacional
Espéculo (Madrid),Interdisciplinar,B3,Internacional
Estudos Avançados (Online),Administração publica,A2,Nacional
Estudos de Sociologia,Interdisciplinar,B2,Nacional
Estudos Linguísticos,Letras e Linguística ,B1,Nacional
ETD : Educação Temática Digital,Interdisciplinar,B2,Nacional
European Journal of Academic Research,Comunicação e Informação,C,Internacional
Filosofia e Educação,Ensino,B4,Nacional
Folha de Rosto: Revista de Biblioteconomia e Ciência da Informação,Comunicação e Informação,B5,Nacional
Fragmentum (UFSM),Letras e Linguística ,B2,Nacional
Fuentes - Revista de la Biblioteca y Archivo Histórico de la Asamblea Legislativa Plurinacional,,,Internacional
Future Studies Research Journal,Ensino,B2,Nacional
Galáxia (PUCSP),Comunicação e Informação,A2,Nacional
"GEPROS. Gestão da Produção, Operações e Sistemas (Online)",Interdisciplinar,B3,Nacional
Gestão & Produção (UFSCAR. Impresso),Comunicação e Informação,B2,Nacional
Gragoatá (UFF),Interdisciplinar,B2,Nacional
HIb: Revista de Historia Iberoamericana,Interdisciplinar,B2,Internacional
Hipertextus revista digital (UFPE),Comunicação e Informação,B4,Nacional
História & Perspectivas (Online),História,B1,Nacional
Holos (Natal. Online),Ensino,B5,Nacional
Hygeia : Revista Brasileira de Geografia Médica e da Saúde (Uberlândia),Interdisciplinar,B5,Nacional
Iberoamerican Journal of Project Management (IJoPM),Interdisciplinar,B4,Internacional
Ibersid (Zaragoza),Comunicação e Informação,B1,Internacional
Icarahy,,,Internacional
In Texto (UFRGS. Online),Comunicação e Informação,B1,Nacional
InCID: Revista de Ciência da Informação e Documentação,Comunicação e Informação,B1,Nacional
Informação & Informação (UEL),Comunicação e Informação,A2,Nacional
Informação & Sociedade (UFPB),Comunicação e Informação,A1,Nacional
Informação & Tecnologia (Itec),Comunicação e Informação,B5,Nacional
Informação Arquivística,Comunicação e Informação,B5,Nacional
Informação em Pauta,Comunicação e Informação,B5,Nacional
Informação@Profissões,Comunicação e Informação,B5,Nacional
"Información, Cultura y Sociedad",Interdisciplinar,B3,Internacional
Information Development,Administração publica,A2,Internacional
Information Research,Comunicação e Informação,A1,Internacional
Information Services & Use,,,Internacional
Informe: Estudos em Biblioteconomia e Gestão da Informação,,,Nacional
Innovation (North Sydney),Administração publica,A2,Internacional
Interação (São Paulo),Direito,C,Nacional
Interciencia (Caracas),Interdisciplinar,B1,Internacional
International Journal of Applied Information Systems,Comunicação e Informação,C,Internacional
International Journal of Business Innovation and Research (Print),Administração publica,A2,Internacional
International Journal of Finance and Accounting,Economia,B3,Internacional
International Journal of Hydrogen Energy,Interdisciplinar,A1,Internacional
