Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,Associação de Arquivistas de São Paulo,2012
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Editora Unesp,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2015
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2014
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2013
"VALENTIM, Marta Lígia Pomim",,,,,,,,,FUNDEPE,2012
"VALENTIM, Marta Lígia Pomim",,,,,,,,,Cultura Acadêmica,2012
"VALENTIM, Marta Lígia Pomim","RODRIGUES, Maria Eloísa","ALMEIDA JÚNIOR, Oswaldo Francisco de",,,,,,,FUNDEPE,2015
"VALENTIM, Marta Lígia Pomim","OLIVEIRA, Cecília Leite de","MIRANDA, Antônio",,,,,,,FCI/UnB,2015
"VALENTIM, Marta Lígia Pomim","MÁS-BASNUEVO, Anays",,,,,,,,Cultura Acadêmica,2015
"TOGNOLI, Natália Bolfarini",,,,,,,,,Cultura Acadêmica,2015
"SINGH, Kushal Pal","RATHORE, Ajay Kumar","MARTÍNEZ-ÁVILA, Daniel","YADAV, Meera"," KUMAR, Manish","KUMAR, Sandeep",,,,A. K. Publications,2014
"SINGH, Kushal Pal","RATHORE, Ajay Kumar","MARTÍNEZ-ÁVILA, Daniel","YADAV, Meera"," KUMAR, Manish","KUMAR, Sandeep",,,,Enriched Publications Pvt.Ltd,2015
"SCHLUNZER JÚNIOR, Klaus","SCHLUNZER, Elisa Tomoe Moriya","NORTE, Mariângela Braga","MESSIAS, Rozana Aparecida Lopes","GARCIA, Daniela Nogueira de Moraes","SILVA, Maria do Rosário Gomes Lima da","CAVALARI, Suzi Marques Spatti","BAFFI-BONVINO, Melissa Alves","LOPEZ, Jorge Augusto",Cultura Acadêmica,2014
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","PEREIRA, Ana Maria",,,,,,,,Intertexto,2014
"ROMAO, Lucília Maria Sousa","FUJITA, Mariângela Spotti Lopes","GRACIOSO, Luciana de Souza",,,,,,,Cultura Acadêmica,2014
"PINTO, Virginia Bentes","VIDOTTI, Silvana Aparecida Borsetti Gregorio","CAVALCANTE, Lidia Eugenia",,,,,,,Edições UFC,2015
"OLIVEIRA, Henry Poncio Cruz de","VIDOTTI, Silvana Aparecida Borsetti Gregorio","PINTO, Virginia Bentes",,,,,,,Cultura Acadêmica,2015
"NORTE, Mariângela Braga",,,,,,,,,Cultura Acadêmica,2013
"NORTE, Mariângela Braga",,,,,,,,,Cultura Acadêmica,2014
"NAKANO, Natalia","JORENTE, Maria José Vicentini","CALDAS, Rosângela Formentini  ",,,,,,,Universidade do Porto,2015
"MALTA, Mariana Curado   ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Dublin Core Metadata Initiative - ASIS&T,2015
"MADIO, Telma Campanha de Carvalho","FILIE JUNIOR, Geraldo","BORGATTO, Márcia Regina dos Santos","MARQUES, Sérgio Adriano Giroto  ","FURLAN, Valéria Aparecida","MORAES, Vagner Roberto de",,,,Cultura Acadêmica,2015
"LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,Cultura Acadêmica,2013
"JORENTE, Maria José Vicentini    ",,,,,,,,,Canal 6,2015
"JORENTE, Maria José Vicentini",,,,,,,,,Cultura Acadêmica,2012
"GUIMARÃES, José Augusto Chaves","DODEBEI, Vera Lúcia Doyle Louzada de Mattos",,,,,,,,FUNDEPE,2015
"GUIMARÃES, José Augusto Chaves","DODEBEI, Vera Lúcia Doyle Louzada de Mattos",,,,,,,,FUNDEPE,2012
"GIL LEIVA, Isidoro","FUJITA, Mariângela Spotti Lopes",,,,,,,,Cultura Acadêmica,2012
