Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,,,,Clube dos Autores,2012
"AQUINO, Afonso Rodrigues  ","PALETTA, Francisco Carlos","CAMELLO, Thereza Cristina F.","MARTINS, Tainá Pellegrino","ALMEIDA, Josimar Ribeiro de",,,,,,Portal da Rede Sirius de Bibliotecas da Universidade do Estado do Rio de Janeiro,2015
"FRANCELIN, Marivalde Moacir","MOTA, Denysson Axel Ribeiro",,,,,,,,,ECA/USP,2015
"FRANCELIN, Marivalde Moacir","PINHO, Fabio Assis",,,,,,,,,EDUFPE,2011
"GOLDEMBERG, José ","PALETTA, Francisco Carlos",,,,,,,,,Edgard Blucher,2012
"GROSSMANN, Martin ","MARIOTTI, Gilberto",,,,,,,,,Hedra,2011
"HAYASHI, Maria Cristina Piumbato Innocentini ","MUGNAINI, Rogério","HAYASHI, Carlos Roberto Massao",,,,,,,,Pedro e João Editores,2013
"MAIMONE, Giovana Deliberali ",,,,,,,,,,Editorial Académica Española,2012
"MUCHERONI, Marcos Luiz ","FUNARO, Vânia Martins Bueno de Oliveira","RAMOS, Lúcia Maria Sebastiana Verônica Costa","TARUHN, Rosane",,,,,,,Editora Eletrônica da FSP/USP,2013
"MUCHERONI, Marcos Luiz ","FUNARO, Vânia Martins Bueno de Oliveira","RAMOS, Lúcia Maria Sebastiana Verônica Costa","TARUHN, Rosane",,,,,,,Digital Publish & Print/Faculdade de Saúde Pública,2014
"OLIVEIRA, Lúcia Maciel Barbosa de","AMARAL, Lilian","GUIMARAES, Tatiana","SANTOS, Marco Ferreira","CUNHA, Sandra","PRADO, Patricia Dias","LACAZ, Guto",,,,Secretaria Municipal de Cultura de São Paulo,2015
"OLIVEIRA, Lúcia Maciel Barbosa de ","SOUZA E SILVA, Lilian","VERANO, Paulo Nascimento",,,,,,,,Secretaria de Educação de São Bernardo do Campo,2012
"PASSARELLI, Brasilina ","JUNQUEIRA, Antônio Hélio",,,,,,,,,Escola do Futuro - USP,2012
"PASSARELLI, Brasilina","JUNQUEIRA, Antônio Hélio",,,,,,,,,Fundação Telefônica,2014
"PASSARELLI, Brasilina ","SILVA, Armando Malheiro da","RAMOS, Fernando",,,,,,,,Senac,2014
"PASSARELLI, Brasilina ","STRAUBHAAR, Joseph","CUEVAS-CERVERÓ, Aurora",,,,,,,,IGI Global,2015
"PERROTTI, Edmir  ","PIERUCCINI, Ivete",,,,,,,,,Secretaria de Educação,2012
"PERROTTI, Edmir  ","PIERUCCINI, Ivete",,,,,,,,,Secretaria de Educação,2012
"PERROTTI, Edmir  ","PIERUCCINI, Ivete",,,,,,,,,Secretaria de Educação,2012
"PERROTTI, Edmir  ","PIERUCCINI, Ivete",,,,,,,,,Secretaria de Educação,2012
"PERROTTI, Edmir  ","PIERUCCINI, Ivete",,,,,,,,,Secretaria de Educação,2012
"SILVA, José Fernando Modesto da ","BARROS, Maria Helena Toledo Costa de","SOUSA, Regina Celi de",,,,,,,,Thesauros,2015
"PASSARELLI, Brasilina","AZEVEDO, José Manuel",,,,,,,,,Senac,2010
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,,,,Todas as musas,2016
"SILVA, José Fernando Modesto da","PALETTA, Francisco Carlos",,,,,,,,,ECA/USP,2016
"MARTINELL, Alfons","CAETANO, Geraldo","FAVARETTO, Celso","SILVEIRA, Regina","PINTO, Manuel da Costa","MARTINS, Maria Helena Pires","GROSSMANN, Martin","NETTO, José Teixeira Coelho","OLIVEIRA, Lúcia Maciel Barbosa de","KUNSCH, Margarida Maria Krohling",Barbatana,2016
"LARA, Marilda Lopes Ginez de","SMIT, Johanna Wilhelmina",,,,,,,,,ECA/USP,2010
