Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"ZANDWAIS, Ana","ROMÃO, Lucília Maria Sousa",,,,,Editora da UFRGS,2011
"SCHERER, Amanda Eloina","ROMÃO, Lucília Maria Sousa",,,,,UFSM,2013
"SANTAREM SEGUNDO, José Eduardo","SILVA, Márcia Regina da","MOSTAFA, Solange Puntel",,,,E-papers,2012
"ROMÃO, Lucília Maria Sousa",,,,,,Pedro e João Editores,2011
"ROMÃO, Lucília Maria Sousa",,,,,,Editora Coruja,2013
"ROMÃO, Lucília Maria Sousa","GALLI, Fernanda Correa Silveira",,,,,Pedro e João Editores,2011
"ROMÃO, Lucília Maria Sousa","GALLI, Fernanda Correa Silveira",,,,,Pedro e João Editores,2012
"ROMÃO, Lucília Maria Sousa","GALLI, Fernanda Correa Silveira","FERRAREZI, Ludmila",,,,Pedro e João Editores,2012
"ROMÃO, Lucília Maria Sousa","FUJITA, MarIângela Spotti","GRACIOSO, Luciana de Souza",,,,Editora Unesp,2014
"PATTI, Ane Ribeiro","FARIA, Daiana de Oliveira","GIORGENON, Daniela","GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,Pedro e João Editores,2014
"MOSTAFA, Solange Puntel",,,,,,E-papers,2013
"MOSTAFA, Solange Puntel","SILVA, Márcia Regina da","SANTAREM SEGUNDO, José Eduardo",,,,Editora da UFPB,2015
"MARIANI, Bethânia Sampaio Corrêa  ","ROMÃO, Lucília Maria Sousa","MEDEIROS, Vanise Gomes de",,,,7Letras,2012
"MANTELLATO, Fernando Luis Medina","ROMÃO, Lucília Maria Sousa","CIANCAGLINI, Pietro","GARCIA, Dantielli Assumpção",,,FFCLRP-USP,2014
"GASPAR, Nádia Regina  ","ROMÃO, Lucília Maria Sousa",,,,,DCI-UFSCAR,2012
"GARCIA, Dantielli Assumpção","GALLI, Fernanda Correa Silveira","SILVA, Jonathan Raphael Bertassi da","CHICOTE,  Maria Luísa Lopes","YADO, Thaís Harumi Manfré","ROMÃO, Lucília Maria Sousa",Pedro e João Editores,2014
"ESPÍRITO SANTO, Sílvia Maria do",,,,,,Holos Editora,2015
"CRIPPA, Giulia",,,,,,Todas as musas,2014
"CRIPPA, Giulia","MOSTAFA, Solange Puntel",,,,,Alínea Editora,2011
"CASTRO FILHO, Cláudio Marcondes de",,,,,,Todas as musas,2013
"CASTRO FILHO, Cláudio Marcondes de","ROMÃO, Lucília Maria Sousa",,,,,Alphabeto,2011
"CASTRO FILHO, Cláudio Marcondes de","CAMPOS, Larissa Bernardes",,,,,Todas as musas,2014
"BALDINI, Lauro José Siqueira","ROMÃO, Lucília Maria Sousa",,,,,EDUFSCar,2014
"ALMEIDA, Marco Antônio de",,,,,,Alínea Editora,2012
"ROMÃO, Lucília Maria Sousa","SOUSA, Glaucia Nagem de","BALDINI, Lauro José Siqueira",,,,Pedro e João Editores,2016
"ROMÃO, Lucília Maria Sousa","PACÍFICO, Soraya Maria Romano ",,,,,Aphabeto,2010
"ROMÃO, Lucília Maria Sousa","PACÍFICO, Soraya Maria Romano ",,,,,Aphabeto,2010
"CRUZ, Denise Viuniski da Nova ","MOSTAFA, Solange Puntel",,,,,Alínea Editora,2010
"FERREIRA, Sueli Mara Soares Pinto","TARGINO, Maria das Graças",,,,,Senac,2010
